MixName	strain	relative_abundance	COI
3D7:010--DD2:090	3D7	10	2
3D7:010--DD2:090	DD2	90	2
3D7:020--DD2:080	3D7	20	2
3D7:020--DD2:080	DD2	80	2
3D7:033--DD2:067	3D7	33	2
3D7:033--DD2:067	DD2	67	2
3D7:067--DD2:033	DD2	33	2
3D7:067--DD2:033	3D7	67	2
3D7:080--DD2:020	DD2	20	2
3D7:080--DD2:020	3D7	80	2
3D7:090--DD2:010	DD2	10	2
3D7:090--DD2:010	3D7	90	2
3D7:100	3D7	100	1
7G8:100	7G8	100	1
CD01:100	CD01	100	1
DD2:025--HB3:025--7G8:050	DD2	25	3
DD2:025--HB3:025--7G8:050	HB3	25	3
DD2:025--HB3:025--7G8:050	7G8	50	3
DD2:100	DD2	100	1
DD2:14.3--HB3:14.3--7G8:71.4	DD2	14.3	3
DD2:14.3--HB3:14.3--7G8:71.4	HB3	14.3	3
DD2:14.3--HB3:14.3--7G8:71.4	7G8	71.4	3
DD2:33.3--HB3:33.3--7G8:33.3	DD2	33.3	3
DD2:33.3--HB3:33.3--7G8:33.3	HB3	33.3	3
DD2:33.3--HB3:33.3--7G8:33.3	7G8	33.3	3
GA01:100	GA01	100	1
GB4:100	GB4	100	1
GN01:100	GN01	100	1
HB3:001--7G8:099	HB3	1	2
HB3:001--7G8:099	7G8	99	2
HB3:005--7G8:095	HB3	5	2
HB3:005--7G8:095	7G8	95	2
HB3:015--7G8:085	HB3	15	2
HB3:015--7G8:085	7G8	85	2
HB3:020--7G8:080	HB3	20	2
HB3:020--7G8:080	7G8	80	2
HB3:025--7G8:075	HB3	25	2
HB3:025--7G8:075	7G8	75	2
HB3:030--7G8:070	HB3	30	2
HB3:030--7G8:070	7G8	70	2
HB3:040--7G8:060	HB3	40	2
HB3:040--7G8:060	7G8	60	2
HB3:050--7G8:050	HB3	50	2
HB3:050--7G8:050	7G8	50	2
HB3:060--7G8:040	7G8	40	2
HB3:060--7G8:040	HB3	60	2
HB3:070--7G8:030	7G8	30	2
HB3:070--7G8:030	HB3	70	2
HB3:075--7G8:025	7G8	25	2
HB3:075--7G8:025	HB3	75	2
HB3:080--7G8:020	7G8	20	2
HB3:080--7G8:020	HB3	80	2
HB3:085--7G8:015	7G8	15	2
HB3:085--7G8:015	HB3	85	2
HB3:090--7G8:010	7G8	10	2
HB3:090--7G8:010	HB3	90	2
HB3:095--7G8:005	7G8	5	2
HB3:095--7G8:005	HB3	95	2
HB3:099--7G8:001	7G8	1	2
HB3:099--7G8:001	HB3	99	2
HB3:100	HB3	100	1
IT:100	IT	100	1
KE01:100	KE01	100	1
KH01:100	KH01	100	1
KH02:100	KH02	100	1
SN01:100	SN01	100	1
1S1-1C1	FCR3	100	1
1S2-1C1	V1-S	100	1
1S3-1C1	W2	100	1
1S4-1C1	U659	100	1
1S5-1C1	D10	100	1
1S6-1C1	D6	100	1
1S7-1C1	HB3	100	1
2S1-2C3	FCR3	5	2
2S1-2C3	W2	95	2
2S1-2C4	FCR3	10	2
2S1-2C4	W2	90	2
2S1-2C5	FCR3	40	2
2S1-2C5	W2	60	2
3S3-3C1	HB3	10	3
3S3-3C1	W2	30	3
3S3-3C1	FCR3	60	3
3S3-3C2	W2	5	3
3S3-3C2	HB3	15	3
3S3-3C2	FCR3	80	3
3S3-3C5	W2	10	3
3S3-3C5	FCR3	30	3
3S3-3C5	HB3	60	3
5S1-5C1	D6	5	5
5S1-5C1	U659	10	5
5S1-5C1	W2	15	5
5S1-5C1	FCR3	20	5
5S1-5C1	V1-S	50	5
5S1-5C2	U659	5	5
5S1-5C2	W2	10	5
5S1-5C2	FCR3	15	5
5S1-5C2	V1-S	20	5
5S1-5C2	D6	50	5
7S1-7C1	V1-S	5	7
7S1-7C1	W2	5	7
7S1-7C1	U659	5	7
7S1-7C1	D10	5	7
7S1-7C1	D6	5	7
7S1-7C1	HB3	5	7
7S1-7C1	FCR3	70	7
D10:100	D10	100	1
D6:100	D6	100	1
FCR3:100	FCR3	100	1
U659:100	U659	100	1
V1-S:100	V1-S	100	1
W2:100	W2	100	1
