sample	MixName	COI
7G8-02	7G8:100	1
HB3-02	HB3:100	1
Pf3D7	3D7:100	1
Pf7G8	7G8:100	1
PfCD01	CD01:100	1
PfDd2	DD2:100	1
PfGA01	GA01:100	1
PfGB4	GB4:100	1
PfGN01	GN01:100	1
PfHB3	HB3:100	1
PfIT	IT:100	1
PfKE01	KE01:100	1
PfKH01	KH01:100	1
PfKH02	KH02:100	1
PfSN01	SN01:100	1
PG0389-C	3D7:090--DD2:010	2
PG0389-C	3D7:090--DD2:010	2
PG0390-C	3D7:080--DD2:020	2
PG0390-C	3D7:080--DD2:020	2
PG0391-C	3D7:067--DD2:033	2
PG0391-C	3D7:067--DD2:033	2
PG0392-C	3D7:033--DD2:067	2
PG0392-C	3D7:033--DD2:067	2
PG0393-C	3D7:020--DD2:080	2
PG0393-C	3D7:020--DD2:080	2
PG0394-C	3D7:010--DD2:090	2
PG0394-C	3D7:010--DD2:090	2
PG0395-C	DD2:33.3--HB3:33.3--7G8:33.3	3
PG0395-C	DD2:33.3--HB3:33.3--7G8:33.3	3
PG0395-C	DD2:33.3--HB3:33.3--7G8:33.3	3
PG0396-C	DD2:025--HB3:025--7G8:050	3
PG0396-C	DD2:025--HB3:025--7G8:050	3
PG0396-C	DD2:025--HB3:025--7G8:050	3
PG0397-C	DD2:14.3--HB3:14.3--7G8:71.4	3
PG0397-C	DD2:14.3--HB3:14.3--7G8:71.4	3
PG0397-C	DD2:14.3--HB3:14.3--7G8:71.4	3
PG0399-C	HB3:099--7G8:001	2
PG0399-C	HB3:099--7G8:001	2
PG0400-C	HB3:095--7G8:005	2
PG0400-C	HB3:095--7G8:005	2
PG0401-C	HB3:090--7G8:010	2
PG0401-C	HB3:090--7G8:010	2
PG0402-C	HB3:085--7G8:015	2
PG0402-C	HB3:085--7G8:015	2
PG0403-C	HB3:080--7G8:020	2
PG0403-C	HB3:080--7G8:020	2
PG0404-C	HB3:075--7G8:025	2
PG0404-C	HB3:075--7G8:025	2
PG0405-C	HB3:070--7G8:030	2
PG0405-C	HB3:070--7G8:030	2
PG0406-C	HB3:060--7G8:040	2
PG0406-C	HB3:060--7G8:040	2
PG0407-C	HB3:050--7G8:050	2
PG0407-C	HB3:050--7G8:050	2
PG0408-C	HB3:040--7G8:060	2
PG0408-C	HB3:040--7G8:060	2
PG0409-C	HB3:030--7G8:070	2
PG0409-C	HB3:030--7G8:070	2
PG0410-C	HB3:025--7G8:075	2
PG0410-C	HB3:025--7G8:075	2
PG0411-C	HB3:020--7G8:080	2
PG0411-C	HB3:020--7G8:080	2
PG0412-C	HB3:015--7G8:085	2
PG0412-C	HB3:015--7G8:085	2
PG0413-C	HB3:005--7G8:095	2
PG0413-C	HB3:005--7G8:095	2
PG0414-C	HB3:001--7G8:099	2
PG0414-C	HB3:001--7G8:099	2
1S1-1C1-10000	1S1-1C1	1
1S2-1C1-10000	1S2-1C1	1
1S3-1C1-10000	1S3-1C1	1
1S4-1C1-10000	1S4-1C1	1
1S5-1C1-10000	1S5-1C1	1
1S6-1C1-10000	1S6-1C1	1
1S7-1C1-10000	1S7-1C1	1
2S1-2C3-10000	2S1-2C3	2
2S1-2C3-10000	2S1-2C3	2
2S1-2C3-x1000	2S1-2C3	2
2S1-2C3-x1000	2S1-2C3	2
2S1-2C3-xx100	2S1-2C3	2
2S1-2C3-xx100	2S1-2C3	2
2S1-2C3-xxx10	2S1-2C3	2
2S1-2C3-xxx10	2S1-2C3	2
2S1-2C4-10000	2S1-2C4	2
2S1-2C4-10000	2S1-2C4	2
2S1-2C4-x1000	2S1-2C4	2
2S1-2C4-x1000	2S1-2C4	2
2S1-2C4-xx100	2S1-2C4	2
2S1-2C4-xx100	2S1-2C4	2
2S1-2C4-xxx10	2S1-2C4	2
2S1-2C4-xxx10	2S1-2C4	2
2S1-2C5-10000	2S1-2C5	2
2S1-2C5-10000	2S1-2C5	2
2S1-2C5-x1000	2S1-2C5	2
2S1-2C5-x1000	2S1-2C5	2
2S1-2C5-xx100	2S1-2C5	2
2S1-2C5-xx100	2S1-2C5	2
2S1-2C5-xxx10	2S1-2C5	2
2S1-2C5-xxx10	2S1-2C5	2
3S3-3C1-10000	3S3-3C1	3
3S3-3C1-10000	3S3-3C1	3
3S3-3C1-10000	3S3-3C1	3
3S3-3C1-x1000	3S3-3C1	3
3S3-3C1-x1000	3S3-3C1	3
3S3-3C1-x1000	3S3-3C1	3
3S3-3C1-xx100	3S3-3C1	3
3S3-3C1-xx100	3S3-3C1	3
3S3-3C1-xx100	3S3-3C1	3
3S3-3C1-xxx10	3S3-3C1	3
3S3-3C1-xxx10	3S3-3C1	3
3S3-3C1-xxx10	3S3-3C1	3
3S3-3C2-10000	3S3-3C2	3
3S3-3C2-10000	3S3-3C2	3
3S3-3C2-10000	3S3-3C2	3
3S3-3C2-x1000	3S3-3C2	3
3S3-3C2-x1000	3S3-3C2	3
3S3-3C2-x1000	3S3-3C2	3
3S3-3C2-xx100	3S3-3C2	3
3S3-3C2-xx100	3S3-3C2	3
3S3-3C2-xx100	3S3-3C2	3
3S3-3C2-xxx10	3S3-3C2	3
3S3-3C2-xxx10	3S3-3C2	3
3S3-3C2-xxx10	3S3-3C2	3
3S3-3C5-10000	3S3-3C5	3
3S3-3C5-10000	3S3-3C5	3
3S3-3C5-10000	3S3-3C5	3
3S3-3C5-x1000	3S3-3C5	3
3S3-3C5-x1000	3S3-3C5	3
3S3-3C5-x1000	3S3-3C5	3
3S3-3C5-xx100	3S3-3C5	3
3S3-3C5-xx100	3S3-3C5	3
3S3-3C5-xx100	3S3-3C5	3
3S3-3C5-xxx10	3S3-3C5	3
3S3-3C5-xxx10	3S3-3C5	3
3S3-3C5-xxx10	3S3-3C5	3
5S1-5C1-10000	5S1-5C1	5
5S1-5C1-10000	5S1-5C1	5
5S1-5C1-10000	5S1-5C1	5
5S1-5C1-10000	5S1-5C1	5
5S1-5C1-10000	5S1-5C1	5
5S1-5C1-x1000	5S1-5C1	5
5S1-5C1-x1000	5S1-5C1	5
5S1-5C1-x1000	5S1-5C1	5
5S1-5C1-x1000	5S1-5C1	5
5S1-5C1-x1000	5S1-5C1	5
5S1-5C1-xx100	5S1-5C1	5
5S1-5C1-xx100	5S1-5C1	5
5S1-5C1-xx100	5S1-5C1	5
5S1-5C1-xx100	5S1-5C1	5
5S1-5C1-xx100	5S1-5C1	5
5S1-5C1-xxx10	5S1-5C1	5
5S1-5C1-xxx10	5S1-5C1	5
5S1-5C1-xxx10	5S1-5C1	5
5S1-5C1-xxx10	5S1-5C1	5
5S1-5C1-xxx10	5S1-5C1	5
5S1-5C2-10000	5S1-5C2	5
5S1-5C2-10000	5S1-5C2	5
5S1-5C2-10000	5S1-5C2	5
5S1-5C2-10000	5S1-5C2	5
5S1-5C2-10000	5S1-5C2	5
5S1-5C2-x1000	5S1-5C2	5
5S1-5C2-x1000	5S1-5C2	5
5S1-5C2-x1000	5S1-5C2	5
5S1-5C2-x1000	5S1-5C2	5
5S1-5C2-x1000	5S1-5C2	5
5S1-5C2-xx100	5S1-5C2	5
5S1-5C2-xx100	5S1-5C2	5
5S1-5C2-xx100	5S1-5C2	5
5S1-5C2-xx100	5S1-5C2	5
5S1-5C2-xx100	5S1-5C2	5
5S1-5C2-xxx10	5S1-5C2	5
5S1-5C2-xxx10	5S1-5C2	5
5S1-5C2-xxx10	5S1-5C2	5
5S1-5C2-xxx10	5S1-5C2	5
5S1-5C2-xxx10	5S1-5C2	5
7S1-7C1-10000	7S1-7C1	7
7S1-7C1-10000	7S1-7C1	7
7S1-7C1-10000	7S1-7C1	7
7S1-7C1-10000	7S1-7C1	7
7S1-7C1-10000	7S1-7C1	7
7S1-7C1-10000	7S1-7C1	7
7S1-7C1-10000	7S1-7C1	7
7S1-7C1-x1000	7S1-7C1	7
7S1-7C1-x1000	7S1-7C1	7
7S1-7C1-x1000	7S1-7C1	7
7S1-7C1-x1000	7S1-7C1	7
7S1-7C1-x1000	7S1-7C1	7
7S1-7C1-x1000	7S1-7C1	7
7S1-7C1-x1000	7S1-7C1	7
7S1-7C1-xx100	7S1-7C1	7
7S1-7C1-xx100	7S1-7C1	7
7S1-7C1-xx100	7S1-7C1	7
7S1-7C1-xx100	7S1-7C1	7
7S1-7C1-xx100	7S1-7C1	7
7S1-7C1-xx100	7S1-7C1	7
7S1-7C1-xx100	7S1-7C1	7
7S1-7C1-xxx10	7S1-7C1	7
7S1-7C1-xxx10	7S1-7C1	7
7S1-7C1-xxx10	7S1-7C1	7
7S1-7C1-xxx10	7S1-7C1	7
7S1-7C1-xxx10	7S1-7C1	7
7S1-7C1-xxx10	7S1-7C1	7
7S1-7C1-xxx10	7S1-7C1	7
D10-UCSF	D10:100	1
D6-UCSF	D6:100	1
FCR3-UCSF	FCR3:100	1
HB3-UCSF	HB3:100	1
U659-UCSF	U659:100	1
V1-S-UCSF	V1-S:100	1
W2-UCSF	W2:100	1
