sample,study,continent,country,site,location,year,mean_base_quality,bases_of_10X_coverage,mean_coverage,%callable,fws
PV0243-Cx2,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,24.4,21374859,52.68,86.61,0.9944319
PV0244-C,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,25.6,16174174,14.5,80.7,0.86324567
PV0245-Cx2,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,24.7,22548966,121.74,89.5,0.998889
PV0246-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,25.5,21471484,33.36,88.69,0.9970594
PV0247-Cx2,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,24.0,22783334,130.88,89.86,0.99688345
PV0248-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,25.5,23133949,148.92,90.78,0.721069
PV0249-Cx,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,25.5,21936985,87.85,88.55,0.9999109
PV0250-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,25.2,22500476,55.05,90.11,0.8357561
PV0251-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,24.4,18612467,20.52,84.24,0.99960154
PV0252-C,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,25.4,23144540,173.97,90.89,0.80503833
PV0253-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,21.9,18939071,20.31,78.81,
PV0254-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,25.1,22718981,72.42,90.06,0.9976861
PV0256-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,25.3,22826298,63.52,90.25,0.7756612
PV0257-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,25.6,22315697,46.99,89.98,0.7789224
PV0258-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,25.2,21428513,33.89,88.56,0.9534257
PV0259-C,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,24.9,22288289,53.8,89.65,0.9989285
PV0261-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,25.3,22584939,55.0,90.1,0.99844974
PV0262-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,26.5,21154044,38.93,88.35,0.9994158
PV0263-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,25.5,22802627,78.34,90.48,0.84466064
PV0264-C,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,26.0,22624513,60.53,90.34,0.68332464
PV0265-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,25.8,21160759,27.74,88.52,0.99993545
PV0266-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,25.5,22208779,62.81,89.51,0.97756237
PV0267-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,25.4,22441100,68.61,89.7,0.994789
PV0268-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,24.6,22676167,51.42,90.43,0.5241628
PV0269-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,24.4,22325941,56.34,89.54,0.9998328
PV0270-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,25.3,21991754,43.94,89.38,0.99849355
PV0271-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,24.9,22393821,52.63,89.78,0.9511906
PV0272-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,24.5,21961314,56.65,88.92,0.9996133
PV0273-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,24.0,22557276,49.14,89.93,0.8835868
PV0274-C,1052,Asia,Vietnam,BuDang,Vietnam-BuDang,2011,25.5,22650279,94.02,89.88,0.9984236
