sample,study,continent,country,site,location,year,mean_base_quality,bases_of_10X_coverage,mean_coverage,%callable,fws
PV0276-C,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,24.6,22937167,76.87,90.5,0.8922537
PV0277-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,24.9,22547208,61.04,89.84,0.99958515
PV0278-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,24.6,21974140,49.92,89.06,0.9938718
PV0279-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,24.9,22786635,91.65,90.15,0.99814606
PV0280-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,25.7,20256478,32.65,86.6,0.99980843
PV0281-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,25.2,22895794,93.33,90.59,0.804202
PV0282-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,24.9,19701024,32.07,84.97,0.9992414
PV0283-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,25.7,22146507,51.34,89.43,0.9993297
PV0284-C,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,25.3,21839195,39.43,89.17,0.9994096
PV0285-C,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,23.4,22444542,52.59,89.62,0.99939585
PV0286-C,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,23.5,17317651,20.6,80.6,0.9957824
PV0287-C,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,19.5,19971033,40.74,67.79,0.9967825
PV0288-C,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,24.4,20839254,25.56,87.87,0.9981075
PV0289-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,25.6,22653110,77.93,89.94,0.9993497
PV0290-C,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,23.4,20682085,98.37,85.95,0.89951766
PV0291-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,25.4,22262081,54.55,89.62,0.91181254
PV0292-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,24.5,22050557,57.84,89.07,0.99905616
PV0293-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,24.0,22623965,58.38,90.11,0.607732
PV0294-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,24.5,22970890,92.41,90.63,0.6162526
PV0295-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,22.6,21244491,37.84,87.73,0.94786716
PV0296-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,24.8,20998387,39.88,87.58,0.99990594
PV0297-C,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,21.5,19164350,36.04,80.0,0.99835306
PV0298-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,25.8,22655805,64.63,90.18,0.99895734
PV0299-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,25.0,22785157,117.56,89.95,0.99922913
PV0300-C,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,24.7,21739327,45.15,88.79,0.9949963
PV0301-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,25.3,22973005,140.64,90.4,1.0
PV0302-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,26.0,22139516,47.65,89.65,0.9994945
PV0303-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,24.8,22971184,75.2,90.67,0.8923541
PV0304-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,26.2,22929213,138.8,90.33,1.0
PV0305-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,25.3,22877766,82.5,90.35,0.99902487
PV0306-C,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,25.6,22787673,70.69,90.23,0.99958634
PV0308-Cx,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,24.0,21346642,81.96,87.33,0.9991952
PV0309-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,25.5,22925724,95.95,90.34,0.99642366
PV0310-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2011,25.3,23070875,157.67,90.38,0.99685735
PV0311-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2012,25.2,23015826,132.75,90.5,0.9995023
PV0312-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2012,26.0,22814210,141.89,90.15,0.99936825
PV0313-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2012,25.3,23007364,137.46,90.2,0.9987817
PV0314-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2012,25.4,23048341,145.84,90.25,1.0
PV0315-Cx,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2012,24.4,22078632,104.42,88.55,1.0
PV0317-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2012,25.1,22629521,55.5,89.78,0.9979794
PV0318-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2012,26.1,22831543,129.41,90.13,0.99950767
PV0319-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2012,25.4,22783564,67.84,90.14,0.999121
PV0320-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2012,26.2,22838975,123.01,89.98,0.99822336
PV0321-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2012,25.3,22931498,95.5,90.18,0.99628776
PV0322-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2012,26.1,22814697,104.97,90.03,0.99890655
PV0323-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2012,25.2,23114548,130.73,90.63,0.831329
PV0324-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2012,26.1,22877325,150.44,90.06,0.9994794
PV0325-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2012,25.3,23017800,127.21,90.31,0.99800557
PV0326-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2012,25.4,23083189,183.44,90.29,0.9998225
PV0327-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2012,24.0,21992152,28.43,86.64,
PV0328-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2012,24.6,22977944,121.34,90.36,0.9978377
PV0329-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2012,24.6,22503126,51.87,89.95,0.9993711
PV0330-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2012,25.2,22878491,93.16,90.2,0.99959046
PV0331-Cx,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2012,21.8,21455753,88.34,86.74,1.0
PV0333-C,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2012,24.9,22895231,123.07,90.32,0.9943641
PV0335-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2012,25.3,22794233,70.94,90.35,0.92503256
PV0336-C,1052,Asia,Vietnam,BuGiaMap,Vietnam-BuGiaMap,2012,24.6,23001383,114.04,90.4,0.926399
PV0337-C,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,24.2,19403819,50.43,82.79,0.6375493
PV0338-C,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,24.5,22345119,91.84,89.57,0.7638337
PV0339-C,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,25.2,20057317,55.95,84.32,0.9711299
PV0340-C,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,24.5,21052040,52.53,87.14,0.9988451
PV0343-C,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,25.2,22376362,92.34,89.42,0.99962085
PV0344-C,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,25.5,16230099,20.14,76.22,0.9992416
PV0345-C,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,25.0,21749565,70.47,88.41,0.9998847
PV0347-C,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2011,25.6,22736182,111.78,90.06,0.99860674
PV0355-C,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2012,25.9,22430276,117.76,89.39,0.9993481
PV0358-C,1052,Asia,Vietnam,PhuocLong,Vietnam-PhuocLong,2012,24.9,22204640,99.1,88.86,0.9246666
