sample,study,continent,country,site,location,year,mean_base_quality,bases_of_10X_coverage,mean_coverage,%callable,fws
QG0198-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.4,18258333,36.0,80.49,0.5023526
QG0200-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,25.3,19365970,62.22,81.74,0.9948368
QG0201-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.9,22159747,114.31,88.96,0.9977216
QG0202-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,25.3,17924412,28.63,79.61,0.9954039
QG0203-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,23.8,20588392,67.03,85.69,0.6698108
QG0204-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.0,18802779,26.61,82.58,0.97545004
QG0205-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,25.0,22072488,104.39,88.79,0.9979688
QG0206-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,25.1,18335378,30.61,79.98,0.6983823
QG0207-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,25.2,22628803,114.2,89.94,0.7884449
QG0208-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.4,20420028,49.32,85.94,0.9835023
QG0209-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.8,21090883,105.45,86.52,0.9995814
QG0210-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.6,19931027,47.23,83.96,0.99914134
QG0211-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,25.1,21268075,58.46,87.51,0.9909405
QG0212-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.8,20095405,53.23,84.63,0.6409368
QG0213-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.8,21718661,79.98,88.2,0.61853474
QG0214-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.4,10973456,11.67,59.79,0.5810994
QG0215-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.8,20374704,37.25,86.04,0.87939805
QG0216-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,25.1,22134480,99.28,88.75,0.99827135
QG0217-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.5,22053587,72.64,89.21,0.5133181
QG0218-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,23.4,21921287,60.68,89.07,0.9401736
QG0219-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,21.8,9024416,10.18,57.28,0.986508
QG0220-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,21.2,5967914,8.14,47.52,
QG0221-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,22.2,6265628,7.99,43.86,
QG0223-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,22.1,5085406,7.17,43.84,
QG0224-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,21.3,7107298,8.73,54.59,0.70757663
QG0225-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,21.2,13478646,19.16,66.82,0.99808407
QG0226-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,23.4,15243244,23.55,69.76,0.686366
QG0228-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,22.9,15808056,24.36,73.23,0.9998521
QG0229-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,21.7,7997846,8.71,61.6,0.63369256
QG0230-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,21.1,6860901,8.7,48.58,
QG0231-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,23.6,18781425,36.33,82.04,0.6617172
QG0232-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,23.5,11916256,13.02,61.28,0.9956604
QG0233-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,23.8,16486158,22.17,76.6,0.98216915
QG0234-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.9,22175447,98.01,89.22,0.8272798
QG0235-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,22.6,18152694,29.2,81.02,0.52776366
QG0236-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,23.3,20661174,44.88,86.47,0.9915578
QG0237-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,23.7,17599532,24.49,79.53,0.85656744
QG0238-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,25.2,21262104,84.74,86.78,0.699853
QG0239-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.5,19437217,47.23,82.85,0.9990861
QG0240-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.3,15777369,18.17,75.11,0.700927
QG0241-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.0,18949814,43.94,81.67,0.88626444
QG0243-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.7,19081114,74.34,81.06,0.9992363
QG0244-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.5,18290448,22.53,81.63,0.6426376
QG0245-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.3,22064542,90.47,88.8,0.99552625
QG0246-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,23.8,21313272,64.1,87.58,0.92226285
QG0247-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.4,19902321,37.77,84.34,0.9981395
QG0248-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.0,18358468,48.04,79.17,0.5677619
QG0249-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.1,20466436,101.19,84.62,0.9972855
QG0250-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.1,14888482,19.33,71.56,0.9973991
QG0251-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.7,19266782,59.15,81.62,0.25811288
QG0252-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.5,16840393,30.98,74.79,0.9976185
QG0253-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,25.2,21963756,78.06,88.57,0.684601
QG0254-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.0,12454224,13.91,64.74,0.7292363
QG0255-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,23.8,18410477,34.92,80.59,0.9931408
QG0256-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,23.9,13565933,15.64,65.97,0.99895334
QG0257-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.7,20921474,78.38,86.15,0.99719334
QG0258-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,23.0,19257148,43.94,82.91,0.9989106
QG0259-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,25.4,19530424,71.2,81.85,0.6325614
QG0260-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,23.5,16590706,33.71,75.62,0.7382626
QG0261-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,23.7,10115422,10.77,59.93,0.9983308
QG0262-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.0,22160016,96.86,89.35,0.9757992
QG0263-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,23.2,17775471,44.47,78.03,0.8996405
QG0264-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.7,11455791,11.68,61.31,0.9943452
QG0265-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.4,21580343,68.2,87.9,0.99502695
QG0266-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.8,21838454,103.21,88.42,0.25760448
QG0267-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,23.2,17192784,31.47,77.66,0.57218534
QG0268-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,23.5,6456248,7.65,49.22,
QG0269-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,25.3,22762712,108.55,90.12,0.99957055
QG0270-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,25.1,21793507,106.21,88.28,0.95386046
QG0271-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,25.4,21679839,69.17,88.32,0.84746283
QG0273-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.6,20346147,79.08,84.15,0.8458562
QG0274-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.8,8338040,8.65,58.5,0.9974694
QG0275-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.8,19062877,41.34,82.17,0.9971588
QG0276-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.2,16194797,28.79,73.6,0.98346514
QG0277-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,25.6,22122576,111.68,88.67,0.9970203
QG0278-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,23.4,13904995,23.26,65.74,0.73003876
QG0279-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,25.2,22123578,74.48,89.33,0.63459927
QG0280-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.9,22169143,84.98,89.09,0.7407516
QG0281-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,22.1,20324711,34.47,84.93,0.9953687
QG0282-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.4,15659391,17.54,74.88,0.98197025
QG0284-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.2,21626642,58.17,88.62,0.2709637
QG0285-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,22.6,9465689,9.84,57.7,0.69692
QG0286-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,22.8,15358236,18.7,72.5,0.99702835
QG0287-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,23.0,14972031,22.68,69.05,0.999549
QG0288-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,21.9,13965511,24.04,66.72,0.41780543
QG0289-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,21.8,12318508,17.64,61.79,0.48772937
QG0290-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,22.6,12646808,16.14,62.96,0.8136821
QG0291-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,21.4,11778373,13.98,63.94,0.99744534
QG0292-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,22.4,14557789,25.18,67.33,0.99640256
QG0293-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,20.7,11374644,13.71,61.49,0.7318122
QG0294-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,20.8,10873415,13.09,60.96,0.62038493
QG0295-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,21.6,10156000,10.69,60.97,0.998232
QG0296-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,23.6,19448861,47.69,83.17,0.99524033
QG0297-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,23.1,17439284,28.1,78.87,0.74272984
QG0298-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,22.6,16453065,46.95,73.52,0.90125614
QG0299-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.9,22575623,128.15,89.67,0.99945015
QG0300-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,23.6,19922448,59.18,84.59,0.8981106
