sample,study,continent,country,site,location,year,mean_base_quality,bases_of_10X_coverage,mean_coverage,%callable,fws
QG0182-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,25.3,21289068,104.97,87.27,0.8435986
QG0183-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.8,18886940,104.16,79.42,0.55669063
QG0184-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,25.0,14805085,16.74,71.76,0.9993948
QG0185-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.6,19368465,46.69,81.91,0.637104
QG0186-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.9,20109778,42.71,84.79,0.998102
QG0187-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.5,9145637,9.64,57.37,0.9940008
QG0188-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,23.9,19751285,40.56,84.53,0.8904372
QG0189-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,25.1,22481647,101.89,90.02,0.5381554
QG0190-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,25.0,20696319,76.63,85.44,0.89693207
QG0191-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.7,20949059,81.18,86.44,0.5240773
QG0192-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.6,21042778,50.06,87.37,0.59944165
QG0193-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.8,22510025,118.95,89.85,0.5062995
QG0194-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,25.3,18855726,29.7,82.71,0.778308
QG0195-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,24.2,16718032,28.81,76.22,0.9984176
QG0196-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,23.7,21269872,110.27,87.1,0.8933414
QG0197-C,1052,Africa,DRCongo,Kinshasa,DRCongo-Kinshasa,2013,25.2,20776629,65.22,85.92,0.49226898
