paramset_id,pop_alpha,coi_p,coi_r,k_s,n_populations,rmse,mae,bias
naive_coi_paramset1,2.33,0.2,0.5,0.2,20,1.6407041171399552,1.617,-1.617
naive_coi_paramset1,2.33,0.2,0.5,0.5,20,1.842857834994333,1.8275000000000001,-1.8275000000000001
naive_coi_paramset1,2.33,0.7,0.25,0.2,20,0.06131883886702359,0.05400000000000003,-0.05400000000000003
naive_coi_paramset1,2.33,0.7,0.25,0.5,20,0.07700649323271387,0.06900000000000005,-0.06900000000000005
naive_coi_paramset1,9,0.2,0.5,0.2,20,1.3828647800851679,1.3595,-1.3595
naive_coi_paramset1,9,0.2,0.5,0.5,20,1.825775177835431,1.7945,-1.7945
naive_coi_paramset1,9,0.7,0.25,0.2,20,0.072835430938520615,0.06350000000000003,-0.06350000000000003
naive_coi_paramset1,9,0.7,0.25,0.5,20,0.06881133627535514,0.06250000000000003,-0.06250000000000003
naive_coi_paramset1,99,0.2,0.5,0.2,20,1.5085158268974175,1.488,-1.488
naive_coi_paramset1,99,0.2,0.5,0.5,20,1.7713342428802081,1.7485,-1.7485
naive_coi_paramset1,99,0.7,0.25,0.2,20,0.06276941930590088,0.05600000000000003,-0.05600000000000003
naive_coi_paramset1,99,0.7,0.25,0.5,20,0.06127805479941415,0.054500000000000035,-0.054500000000000035
naive_coi_paramset2,2.33,0.2,0.5,0.2,20,1.3899190623917639,1.3605,-1.3605
naive_coi_paramset2,2.33,0.2,0.5,0.5,20,1.5580645044413277,1.5295,-1.5295
naive_coi_paramset2,2.33,0.7,0.25,0.2,20,0.043127717305695666,0.033000000000000015,-0.032000000000000015
naive_coi_paramset2,2.33,0.7,0.25,0.5,20,0.05248809388804287,0.043500000000000025,-0.03750000000000002
naive_coi_paramset2,9,0.2,0.5,0.2,20,1.0149852215672897,0.9795,-0.9795
naive_coi_paramset2,9,0.2,0.5,0.5,20,1.430674666022992,1.383,-1.383
naive_coi_paramset2,9,0.7,0.25,0.2,20,0.04924428900898054,0.040500000000000015,-0.016499999999999987
naive_coi_paramset2,9,0.7,0.25,0.5,20,0.03788139384975165,0.031500000000000014,-0.00350000000000002
naive_coi_paramset2,99,0.2,0.5,0.2,20,1.0410715633423093,1.007,-1.007
naive_coi_paramset2,99,0.2,0.5,0.5,20,1.2616477321344495,1.2295,-1.2295
naive_coi_paramset2,99,0.7,0.25,0.2,20,0.053103672189407015,0.044000000000000004,0.024000000000000004
naive_coi_paramset2,99,0.7,0.25,0.5,20,0.0699285349481883,0.05299999999999998,0.03299999999999999
naive_coi_paramset3,2.33,0.2,0.5,0.2,20,1.1148587354458859,1.066,-1.066
naive_coi_paramset3,2.33,0.2,0.5,0.5,20,1.2418071508893802,1.1955,-1.1955
naive_coi_paramset3,2.33,0.7,0.25,0.2,20,0.06670832032063169,0.05700000000000003,0.04700000000000003
naive_coi_paramset3,2.33,0.7,0.25,0.5,20,0.08074651695274537,0.06499999999999999,0.04399999999999997
naive_coi_paramset3,9,0.2,0.5,0.2,20,0.6418644716760696,0.584,-0.584
naive_coi_paramset3,9,0.2,0.5,0.5,20,1.0644623055796762,0.9939999999999999,-0.9939999999999999
naive_coi_paramset3,9,0.7,0.25,0.2,20,0.11687600266949581,0.09799999999999998,0.09399999999999997
naive_coi_paramset3,9,0.7,0.25,0.5,20,0.1417391971192161,0.11799999999999998,0.11699999999999997
naive_coi_paramset3,99,0.2,0.5,0.2,20,0.6543699259593154,0.605,-0.605
naive_coi_paramset3,99,0.2,0.5,0.5,20,0.8355447324949156,0.7885,-0.7885
naive_coi_paramset3,99,0.7,0.25,0.2,20,0.16952875862224676,0.153,0.153
naive_coi_paramset3,99,0.7,0.25,0.5,20,0.20535335400231475,0.185,0.185
naive_coi_paramset4,2.33,0.2,0.5,0.2,20,0.5917727604410328,0.4925,-0.3385
naive_coi_paramset4,2.33,0.2,0.5,0.5,20,0.6021627686929839,0.515,-0.41800000000000004
naive_coi_paramset4,2.33,0.7,0.25,0.2,20,0.29802684442848437,0.269,0.269
naive_coi_paramset4,2.33,0.7,0.25,0.5,20,0.29098969053902923,0.27249999999999996,0.27249999999999996
naive_coi_paramset4,9,0.2,0.5,0.2,20,0.3848960898736178,0.3135000000000001,0.2605000000000001
naive_coi_paramset4,9,0.2,0.5,0.5,20,0.43472405040439155,0.31849999999999995,0.0014999999999999658
naive_coi_paramset4,9,0.7,0.25,0.2,20,0.3413063140347685,0.33,0.33
naive_coi_paramset4,9,0.7,0.25,0.5,20,0.35501408422765424,0.34149999999999997,0.34149999999999997
naive_coi_paramset4,99,0.2,0.5,0.2,20,0.6812635319756959,0.587,0.5840000000000001
naive_coi_paramset4,99,0.2,0.5,0.5,20,0.6805916543714007,0.5275000000000001,0.5035000000000001
naive_coi_paramset4,99,0.7,0.25,0.2,20,0.38464269133833806,0.375,0.375
naive_coi_paramset4,99,0.7,0.25,0.5,20,0.45027769209677704,0.433,0.433
naive_coi_paramset5,2.33,0.2,0.5,0.2,20,0.7925339109464024,0.6849999999999999,-0.6739999999999999
naive_coi_paramset5,2.33,0.2,0.5,0.5,20,0.8788856580921094,0.7830000000000001,-0.7830000000000001
naive_coi_paramset5,2.33,0.7,0.25,0.2,20,0.16164776521808152,0.14300000000000004,0.14100000000000004
