paramset_id,pop_alpha,coi_p,coi_r,k_s,n_populations,rmse,mae,bias
naive_coi_paramset5,2.33,0.7,0.25,0.5,20,0.17800280896660028,0.1565,0.1565
naive_coi_paramset5,9,0.2,0.5,0.2,20,0.30783112253311884,0.24800000000000003,-0.13800000000000007
naive_coi_paramset5,9,0.2,0.5,0.5,20,0.6025736469511422,0.49549999999999994,-0.4284999999999999
naive_coi_paramset5,9,0.7,0.25,0.2,20,0.22397544508271436,0.2145,0.2145
naive_coi_paramset5,9,0.7,0.25,0.5,20,0.251535285795055,0.23400000000000004,0.23400000000000004
naive_coi_paramset5,99,0.2,0.5,0.2,20,0.30053286010018937,0.27099999999999996,0.031000000000000003
naive_coi_paramset5,99,0.2,0.5,0.5,20,0.37026341974329563,0.3184999999999999,-0.11150000000000002
naive_coi_paramset5,99,0.7,0.25,0.2,20,0.2795174413162799,0.271,0.271
naive_coi_paramset5,99,0.7,0.25,0.5,20,0.33656351555092834,0.3215,0.3215
naive_coi_paramset6,2.33,0.2,0.5,0.2,20,1.1486862060632572,1.099,-1.099
naive_coi_paramset6,2.33,0.2,0.5,0.5,20,1.2606942531795724,1.218,-1.218
naive_coi_paramset6,2.33,0.7,0.25,0.2,20,0.046583258795408485,0.03700000000000002,0.020000000000000007
naive_coi_paramset6,2.33,0.7,0.25,0.5,20,0.06793379129711516,0.052500000000000005,0.02149999999999998
naive_coi_paramset6,9,0.2,0.5,0.2,20,0.6535939106203483,0.5984999999999999,-0.5984999999999999
naive_coi_paramset6,9,0.2,0.5,0.5,20,1.0476282737688976,0.9755,-0.9755
naive_coi_paramset6,9,0.7,0.25,0.2,20,0.09375499986667378,0.07500000000000001,0.063
naive_coi_paramset6,9,0.7,0.25,0.5,20,0.11128791488746652,0.08949999999999997,0.08749999999999997
naive_coi_paramset6,99,0.2,0.5,0.2,20,0.6173613204599069,0.5535,-0.5535
naive_coi_paramset6,99,0.2,0.5,0.5,20,0.7963479139170265,0.744,-0.744
naive_coi_paramset6,99,0.7,0.25,0.2,20,0.1480709289496085,0.12850000000000003,0.12850000000000003
naive_coi_paramset6,99,0.7,0.25,0.5,20,0.17861970775925035,0.1565,0.1565
