pop_alpha,coi_p,coi_r,k_s,n_populations,rmse,mae,bias
2.33,0.2,0.5,0.2,20,1.0788665605882666,1.0258333333333334,-1.0258333333333334
2.33,0.2,0.5,0.5,20,1.2077248467906734,1.1619166666666667,-1.1619166666666667
2.33,0.7,0.25,0.2,20,0.07961888385720228,0.07,0.06516666666666668
2.33,0.7,0.25,0.5,20,0.08405685906311008,0.06949999999999998,0.06466666666666662
9,0.2,0.5,0.2,20,0.6222039679862045,0.5665,-0.5665
9,0.2,0.5,0.5,20,1.001731556411752,0.9289999999999999,-0.9289999999999999
9,0.7,0.25,0.2,20,0.1165088217928392,0.10358333333333335,0.10358333333333335
9,0.7,0.25,0.5,20,0.1337991861792224,0.11900000000000001,0.11900000000000001
99,0.2,0.5,0.2,20,0.5732166790238321,0.5064166666666666,-0.5064166666666666
99,0.2,0.5,0.5,20,0.7481877178296307,0.6864166666666666,-0.6864166666666666
99,0.7,0.25,0.2,20,0.15806688106269728,0.14925000000000002,0.14925000000000002
99,0.7,0.25,0.5,20,0.19270335579157236,0.1790833333333333,0.1790833333333333
