sim_id,paramset_id,country,pop_alpha,coi_p,coi_r,k_s,n_samples,n_rows,rmse,mae,bias
simulated_Cambodia_pop_001,naive_coi_paramset1,Cambodia,99,0.7,0.25,0.5,100,100,0.2828427124746189,0.06,-0.06
simulated_Cambodia_pop_001,naive_coi_paramset2,Cambodia,99,0.7,0.25,0.5,100,100,0.14142135623730945,0.02,-0.02
simulated_Cambodia_pop_001,naive_coi_paramset3,Cambodia,99,0.7,0.25,0.5,100,100,0.37416573867739406,0.14,0.14
simulated_Cambodia_pop_001,naive_coi_paramset4,Cambodia,99,0.7,0.25,0.5,100,100,0.9949874371066201,0.49,0.49
simulated_Cambodia_pop_001,naive_coi_paramset5,Cambodia,99,0.7,0.25,0.5,100,100,0.7071067811865476,0.32,0.32
simulated_Cambodia_pop_001,naive_coi_paramset6,Cambodia,99,0.7,0.25,0.5,100,100,0.31622776601683794,0.1,0.1
simulated_Cambodia_pop_002,naive_coi_paramset1,Cambodia,99,0.7,0.25,0.2,100,100,0.30000000000000016,0.07,-0.07
simulated_Cambodia_pop_002,naive_coi_paramset2,Cambodia,99,0.7,0.25,0.2,100,100,0.14142135623730945,0.02,-0.02
simulated_Cambodia_pop_002,naive_coi_paramset3,Cambodia,99,0.7,0.25,0.2,100,100,0.38729833462074137,0.13,0.13
simulated_Cambodia_pop_002,naive_coi_paramset4,Cambodia,99,0.7,0.25,0.2,100,100,0.8717797887081349,0.4,0.4
simulated_Cambodia_pop_002,naive_coi_paramset5,Cambodia,99,0.7,0.25,0.2,100,100,0.7141428428542851,0.29,0.29
simulated_Cambodia_pop_002,naive_coi_paramset6,Cambodia,99,0.7,0.25,0.2,100,100,0.3,0.09,0.09
simulated_Cambodia_pop_003,naive_coi_paramset1,Cambodia,99,0.2,0.5,0.5,100,100,3.837968212479096,2.09,-2.09
simulated_Cambodia_pop_003,naive_coi_paramset2,Cambodia,99,0.2,0.5,0.5,100,100,3.2908965343808645,1.61,-1.61
simulated_Cambodia_pop_003,naive_coi_paramset3,Cambodia,99,0.2,0.5,0.5,100,100,3.064310689208914,1.41,-1.15
simulated_Cambodia_pop_003,naive_coi_paramset4,Cambodia,99,0.2,0.5,0.5,100,100,2.293468988235943,1.28,0.06
simulated_Cambodia_pop_003,naive_coi_paramset5,Cambodia,99,0.2,0.5,0.5,100,100,2.529822128134703,1.28,-0.54
simulated_Cambodia_pop_003,naive_coi_paramset6,Cambodia,99,0.2,0.5,0.5,100,100,2.9206163733020465,1.33,-1.15
simulated_Cambodia_pop_004,naive_coi_paramset1,Cambodia,99,0.2,0.5,0.2,100,100,3.4885527085024814,2.03,-2.03
simulated_Cambodia_pop_004,naive_coi_paramset2,Cambodia,99,0.2,0.5,0.2,100,100,2.9849623113198573,1.53,-1.53
simulated_Cambodia_pop_004,naive_coi_paramset3,Cambodia,99,0.2,0.5,0.2,100,100,2.7856776554368246,1.48,-1.04
simulated_Cambodia_pop_004,naive_coi_paramset4,Cambodia,99,0.2,0.5,0.2,100,100,1.8841443681416772,1.33,0.15
simulated_Cambodia_pop_004,naive_coi_paramset5,Cambodia,99,0.2,0.5,0.2,100,100,2.3727621035409343,1.43,-0.47
simulated_Cambodia_pop_004,naive_coi_paramset6,Cambodia,99,0.2,0.5,0.2,100,100,2.698147512646408,1.38,-1.04
simulated_Cambodia_pop_005,naive_coi_paramset1,Cambodia,9,0.7,0.25,0.5,100,100,0.4242640687119287,0.1,-0.1
simulated_Cambodia_pop_005,naive_coi_paramset2,Cambodia,9,0.7,0.25,0.5,100,100,0.3464101615137754,0.1,-0.06
simulated_Cambodia_pop_005,naive_coi_paramset3,Cambodia,9,0.7,0.25,0.5,100,100,0.3464101615137755,0.1,0.02
simulated_Cambodia_pop_005,naive_coi_paramset4,Cambodia,9,0.7,0.25,0.5,100,100,0.7211102550927979,0.36,0.32
simulated_Cambodia_pop_005,naive_coi_paramset5,Cambodia,9,0.7,0.25,0.5,100,100,0.4898979485566356,0.24,0.18
simulated_Cambodia_pop_005,naive_coi_paramset6,Cambodia,9,0.7,0.25,0.5,100,100,0.31622776601683783,0.08,0
simulated_Cambodia_pop_006,naive_coi_paramset1,Cambodia,9,0.7,0.25,0.2,100,100,0.4242640687119287,0.14,-0.14
simulated_Cambodia_pop_006,naive_coi_paramset2,Cambodia,9,0.7,0.25,0.2,100,100,0.3316624790355398,0.09,-0.09
simulated_Cambodia_pop_006,naive_coi_paramset3,Cambodia,9,0.7,0.25,0.2,100,100,0.3316624790355398,0.11,0.03
simulated_Cambodia_pop_006,naive_coi_paramset4,Cambodia,9,0.7,0.25,0.2,100,100,0.7615773105863908,0.38,0.38
simulated_Cambodia_pop_006,naive_coi_paramset5,Cambodia,9,0.7,0.25,0.2,100,100,0.5,0.23,0.21
simulated_Cambodia_pop_006,naive_coi_paramset6,Cambodia,9,0.7,0.25,0.2,100,100,0.264575131106459,0.07,-0.01
simulated_Cambodia_pop_007,naive_coi_paramset1,Cambodia,9,0.2,0.5,0.5,100,100,5.1176166327695904,2.33,-2.33
simulated_Cambodia_pop_007,naive_coi_paramset2,Cambodia,9,0.2,0.5,0.5,100,100,4.774934554525332,2.02,-2.02
simulated_Cambodia_pop_007,naive_coi_paramset3,Cambodia,9,0.2,0.5,0.5,100,100,4.6097722286464435,1.83,-1.73
simulated_Cambodia_pop_007,naive_coi_paramset4,Cambodia,9,0.2,0.5,0.5,100,100,3.5693136595149486,1.52,-0.66
simulated_Cambodia_pop_007,naive_coi_paramset5,Cambodia,9,0.2,0.5,0.5,100,100,4.22729227756965,1.77,-1.19
simulated_Cambodia_pop_007,naive_coi_paramset6,Cambodia,9,0.2,0.5,0.5,100,100,4.47213595499958,1.78,-1.68
simulated_Cambodia_pop_008,naive_coi_paramset1,Cambodia,9,0.2,0.5,0.2,100,100,3.5270384177096794,1.7,-1.7
simulated_Cambodia_pop_008,naive_coi_paramset2,Cambodia,9,0.2,0.5,0.2,100,100,3.0380915061926603,1.27,-1.27
simulated_Cambodia_pop_008,naive_coi_paramset3,Cambodia,9,0.2,0.5,0.2,100,100,2.868797657556209,1.09,-0.83
simulated_Cambodia_pop_008,naive_coi_paramset4,Cambodia,9,0.2,0.5,0.2,100,100,2.725802634087801,1.33,-0.05
simulated_Cambodia_pop_008,naive_coi_paramset5,Cambodia,9,0.2,0.5,0.2,100,100,2.808914381037629,1.29,-0.51
simulated_Cambodia_pop_008,naive_coi_paramset6,Cambodia,9,0.2,0.5,0.2,100,100,2.861817604250837,1.05,-0.87
simulated_Cambodia_pop_009,naive_coi_paramset1,Cambodia,2.33,0.7,0.25,0.5,100,100,0.5567764362830026,0.15,-0.15
simulated_Cambodia_pop_009,naive_coi_paramset2,Cambodia,2.33,0.7,0.25,0.5,100,100,0.3605551275463987,0.09,-0.09
simulated_Cambodia_pop_009,naive_coi_paramset3,Cambodia,2.33,0.7,0.25,0.5,100,100,0.38729833462074137,0.11,-0.01
simulated_Cambodia_pop_009,naive_coi_paramset4,Cambodia,2.33,0.7,0.25,0.5,100,100,0.565685424949238,0.22,0.18
simulated_Cambodia_pop_009,naive_coi_paramset5,Cambodia,2.33,0.7,0.25,0.5,100,100,0.34641016151377535,0.12,0.06
simulated_Cambodia_pop_009,naive_coi_paramset6,Cambodia,2.33,0.7,0.25,0.5,100,100,0.31622776601683783,0.08,-0.02
simulated_Cambodia_pop_010,naive_coi_paramset1,Cambodia,2.33,0.7,0.25,0.2,100,100,0.3316624790355398,0.09,-0.09
simulated_Cambodia_pop_010,naive_coi_paramset2,Cambodia,2.33,0.7,0.25,0.2,100,100,0.3316624790355398,0.09,-0.09
simulated_Cambodia_pop_010,naive_coi_paramset3,Cambodia,2.33,0.7,0.25,0.2,100,100,0.30000000000000016,0.07,-0.07
simulated_Cambodia_pop_010,naive_coi_paramset4,Cambodia,2.33,0.7,0.25,0.2,100,100,0.3872983346207417,0.15,0.09
simulated_Cambodia_pop_010,naive_coi_paramset5,Cambodia,2.33,0.7,0.25,0.2,100,100,0.34641016151377535,0.1,-0.02
simulated_Cambodia_pop_010,naive_coi_paramset6,Cambodia,2.33,0.7,0.25,0.2,100,100,0.3162277660168379,0.08,-0.08
simulated_Cambodia_pop_011,naive_coi_paramset1,Cambodia,2.33,0.2,0.5,0.5,100,100,3.598610843089316,1.81,-1.81
simulated_Cambodia_pop_011,naive_coi_paramset2,Cambodia,2.33,0.2,0.5,0.5,100,100,3.2031234756093943,1.52,-1.52
simulated_Cambodia_pop_011,naive_coi_paramset3,Cambodia,2.33,0.2,0.5,0.5,100,100,3.001666203960728,1.35,-1.33
simulated_Cambodia_pop_011,naive_coi_paramset4,Cambodia,2.33,0.2,0.5,0.5,100,100,2.477902338672773,1.14,-0.7
simulated_Cambodia_pop_011,naive_coi_paramset5,Cambodia,2.33,0.2,0.5,0.5,100,100,2.6362852652928135,1.21,-0.97
simulated_Cambodia_pop_011,naive_coi_paramset6,Cambodia,2.33,0.2,0.5,0.5,100,100,2.9308701779505686,1.31,-1.29
simulated_Cambodia_pop_012,naive_coi_paramset1,Cambodia,2.33,0.2,0.5,0.2,100,100,2.3366642891095846,1.3,-1.3
simulated_Cambodia_pop_012,naive_coi_paramset2,Cambodia,2.33,0.2,0.5,0.2,100,100,2.0199009876724143,1.12,-1.12
simulated_Cambodia_pop_012,naive_coi_paramset3,Cambodia,2.33,0.2,0.5,0.2,100,100,1.8493242008906934,0.92,-0.86
simulated_Cambodia_pop_012,naive_coi_paramset4,Cambodia,2.33,0.2,0.5,0.2,100,100,1.4456832294800956,0.81,-0.25
simulated_Cambodia_pop_012,naive_coi_paramset5,Cambodia,2.33,0.2,0.5,0.2,100,100,1.708800749063506,0.9,-0.6
simulated_Cambodia_pop_012,naive_coi_paramset6,Cambodia,2.33,0.2,0.5,0.2,100,100,1.8601075237738276,0.96,-0.9
simulated_Cambodia_pop_013,naive_coi_paramset1,Cambodia,99,0.7,0.25,0.5,100,100,0.24494897427831777,0.06,-0.06
simulated_Cambodia_pop_013,naive_coi_paramset2,Cambodia,99,0.7,0.25,0.5,100,100,0.19999999999999993,0.04,0
simulated_Cambodia_pop_013,naive_coi_paramset3,Cambodia,99,0.7,0.25,0.5,100,100,0.3741657386773941,0.14,0.12
simulated_Cambodia_pop_013,naive_coi_paramset4,Cambodia,99,0.7,0.25,0.5,100,100,0.9165151389911681,0.44,0.42
simulated_Cambodia_pop_013,naive_coi_paramset5,Cambodia,99,0.7,0.25,0.5,100,100,0.6928203230275508,0.32,0.3
simulated_Cambodia_pop_013,naive_coi_paramset6,Cambodia,99,0.7,0.25,0.5,100,100,0.3,0.09,0.07
simulated_Cambodia_pop_014,naive_coi_paramset1,Cambodia,99,0.7,0.25,0.2,100,100,0.3464101615137757,0.08,-0.08
simulated_Cambodia_pop_014,naive_coi_paramset2,Cambodia,99,0.7,0.25,0.2,100,100,0.1732050807568878,0.03,-0.03
simulated_Cambodia_pop_014,naive_coi_paramset3,Cambodia,99,0.7,0.25,0.2,100,100,0.31622776601683816,0.1,0.06
simulated_Cambodia_pop_014,naive_coi_paramset4,Cambodia,99,0.7,0.25,0.2,100,100,0.7483314773547881,0.3,0.3
simulated_Cambodia_pop_014,naive_coi_paramset5,Cambodia,99,0.7,0.25,0.2,100,100,0.6164414002968976,0.22,0.22
simulated_Cambodia_pop_014,naive_coi_paramset6,Cambodia,99,0.7,0.25,0.2,100,100,0.264575131106459,0.07,0.05
simulated_Cambodia_pop_015,naive_coi_paramset1,Cambodia,99,0.2,0.5,0.5,100,100,4.565084884205333,2.24,-2.24
simulated_Cambodia_pop_015,naive_coi_paramset2,Cambodia,99,0.2,0.5,0.5,100,100,4.042276586281549,1.78,-1.78
simulated_Cambodia_pop_015,naive_coi_paramset3,Cambodia,99,0.2,0.5,0.5,100,100,3.8353617821530186,1.63,-1.23
simulated_Cambodia_pop_015,naive_coi_paramset4,Cambodia,99,0.2,0.5,0.5,100,100,3.082207001484488,1.6,-0.22
simulated_Cambodia_pop_015,naive_coi_paramset5,Cambodia,99,0.2,0.5,0.5,100,100,3.5028559776273984,1.63,-0.79
simulated_Cambodia_pop_015,naive_coi_paramset6,Cambodia,99,0.2,0.5,0.5,100,100,3.724244889907214,1.55,-1.21
simulated_Cambodia_pop_016,naive_coi_paramset1,Cambodia,99,0.2,0.5,0.2,100,100,3.2649655434628992,1.64,-1.64
simulated_Cambodia_pop_016,naive_coi_paramset2,Cambodia,99,0.2,0.5,0.2,100,100,2.745906043549194,1.24,-1.24
simulated_Cambodia_pop_016,naive_coi_paramset3,Cambodia,99,0.2,0.5,0.2,100,100,2.54558441227157,1.18,-0.88
simulated_Cambodia_pop_016,naive_coi_paramset4,Cambodia,99,0.2,0.5,0.2,100,100,1.9924858845171278,1.29,0.33
simulated_Cambodia_pop_016,naive_coi_paramset5,Cambodia,99,0.2,0.5,0.2,100,100,2.147091055358389,1.23,-0.13
simulated_Cambodia_pop_016,naive_coi_paramset6,Cambodia,99,0.2,0.5,0.2,100,100,2.3558437978779496,1.05,-0.83
simulated_Cambodia_pop_017,naive_coi_paramset1,Cambodia,9,0.7,0.25,0.5,100,100,0.2828427124746189,0.06,-0.06
simulated_Cambodia_pop_017,naive_coi_paramset2,Cambodia,9,0.7,0.25,0.5,100,100,0.2645751311064589,0.05,-0.03
simulated_Cambodia_pop_017,naive_coi_paramset3,Cambodia,9,0.7,0.25,0.5,100,100,0.26457513110645897,0.07,0.05
simulated_Cambodia_pop_017,naive_coi_paramset4,Cambodia,9,0.7,0.25,0.5,100,100,0.6633249580710799,0.26,0.24
simulated_Cambodia_pop_017,naive_coi_paramset5,Cambodia,9,0.7,0.25,0.5,100,100,0.4,0.14,0.12
simulated_Cambodia_pop_017,naive_coi_paramset6,Cambodia,9,0.7,0.25,0.5,100,100,0.22360679774997894,0.05,0.01
simulated_Cambodia_pop_018,naive_coi_paramset1,Cambodia,9,0.7,0.25,0.2,100,100,0.2828427124746189,0.06,-0.06
simulated_Cambodia_pop_018,naive_coi_paramset2,Cambodia,9,0.7,0.25,0.2,100,100,0.09999999999999996,0.01,-0.01
simulated_Cambodia_pop_018,naive_coi_paramset3,Cambodia,9,0.7,0.25,0.2,100,100,0.4123105625617661,0.17,0.15
simulated_Cambodia_pop_018,naive_coi_paramset4,Cambodia,9,0.7,0.25,0.2,100,100,0.8062257748298549,0.35,0.35
simulated_Cambodia_pop_018,naive_coi_paramset5,Cambodia,9,0.7,0.25,0.2,100,100,0.5830951894845301,0.24,0.24
simulated_Cambodia_pop_018,naive_coi_paramset6,Cambodia,9,0.7,0.25,0.2,100,100,0.39999999999999997,0.16,0.14
simulated_Cambodia_pop_019,naive_coi_paramset1,Cambodia,9,0.2,0.5,0.5,100,100,3.620773398046333,1.85,-1.85
simulated_Cambodia_pop_019,naive_coi_paramset2,Cambodia,9,0.2,0.5,0.5,100,100,3.3331666624997895,1.55,-1.51
simulated_Cambodia_pop_019,naive_coi_paramset3,Cambodia,9,0.2,0.5,0.5,100,100,3.0659419433511803,1.4,-1.12
simulated_Cambodia_pop_019,naive_coi_paramset4,Cambodia,9,0.2,0.5,0.5,100,100,2.0856653614614213,1.07,0.11
simulated_Cambodia_pop_019,naive_coi_paramset5,Cambodia,9,0.2,0.5,0.5,100,100,2.5690465157330262,1.28,-0.58
simulated_Cambodia_pop_019,naive_coi_paramset6,Cambodia,9,0.2,0.5,0.5,100,100,2.99666481275434,1.34,-1.14
simulated_Cambodia_pop_020,naive_coi_paramset1,Cambodia,9,0.2,0.5,0.2,100,100,3.0708305065568164,1.45,-1.45
simulated_Cambodia_pop_020,naive_coi_paramset2,Cambodia,9,0.2,0.5,0.2,100,100,2.6286878856189806,1.19,-1.17
simulated_Cambodia_pop_020,naive_coi_paramset3,Cambodia,9,0.2,0.5,0.2,100,100,2.3979157616563596,0.99,-0.73
simulated_Cambodia_pop_020,naive_coi_paramset4,Cambodia,9,0.2,0.5,0.2,100,100,2.188606862823929,1.13,0.15
simulated_Cambodia_pop_020,naive_coi_paramset5,Cambodia,9,0.2,0.5,0.2,100,100,2.1307275752662513,1,-0.26
simulated_Cambodia_pop_020,naive_coi_paramset6,Cambodia,9,0.2,0.5,0.2,100,100,2.357965224510319,0.92,-0.78
simulated_Cambodia_pop_021,naive_coi_paramset1,Cambodia,2.33,0.7,0.25,0.5,100,100,0.4358898943540675,0.11,-0.11
simulated_Cambodia_pop_021,naive_coi_paramset2,Cambodia,2.33,0.7,0.25,0.5,100,100,0.36055512754639873,0.09,-0.09
simulated_Cambodia_pop_021,naive_coi_paramset3,Cambodia,2.33,0.7,0.25,0.5,100,100,0.3162277660168382,0.08,-0.04
simulated_Cambodia_pop_021,naive_coi_paramset4,Cambodia,2.33,0.7,0.25,0.5,100,100,0.6324555320336759,0.26,0.24
simulated_Cambodia_pop_021,naive_coi_paramset5,Cambodia,2.33,0.7,0.25,0.5,100,100,0.360555127546399,0.11,0.07
simulated_Cambodia_pop_021,naive_coi_paramset6,Cambodia,2.33,0.7,0.25,0.5,100,100,0.3162277660168379,0.08,-0.06
simulated_Cambodia_pop_022,naive_coi_paramset1,Cambodia,2.33,0.7,0.25,0.2,100,100,0.22360679774997916,0.05,-0.05
simulated_Cambodia_pop_022,naive_coi_paramset2,Cambodia,2.33,0.7,0.25,0.2,100,100,0.19999999999999993,0.04,-0.04
simulated_Cambodia_pop_022,naive_coi_paramset3,Cambodia,2.33,0.7,0.25,0.2,100,100,0.19999999999999993,0.04,0.02
simulated_Cambodia_pop_022,naive_coi_paramset4,Cambodia,2.33,0.7,0.25,0.2,100,100,0.5196152422706632,0.21,0.19
simulated_Cambodia_pop_022,naive_coi_paramset5,Cambodia,2.33,0.7,0.25,0.2,100,100,0.3464101615137754,0.12,0.1
simulated_Cambodia_pop_022,naive_coi_paramset6,Cambodia,2.33,0.7,0.25,0.2,100,100,0.09999999999999998,0.01,-0.01
simulated_Cambodia_pop_023,naive_coi_paramset1,Cambodia,2.33,0.2,0.5,0.5,100,100,3.149603149604723,1.72,-1.72
simulated_Cambodia_pop_023,naive_coi_paramset2,Cambodia,2.33,0.2,0.5,0.5,100,100,2.887905815638733,1.56,-1.56
simulated_Cambodia_pop_023,naive_coi_paramset3,Cambodia,2.33,0.2,0.5,0.5,100,100,2.613426869074397,1.31,-1.29
simulated_Cambodia_pop_023,naive_coi_paramset4,Cambodia,2.33,0.2,0.5,0.5,100,100,2.3409399821439254,1.24,-0.52
simulated_Cambodia_pop_023,naive_coi_paramset5,Cambodia,2.33,0.2,0.5,0.5,100,100,2.3769728648009423,1.13,-0.85
simulated_Cambodia_pop_023,naive_coi_paramset6,Cambodia,2.33,0.2,0.5,0.5,100,100,2.6381811916545836,1.36,-1.36
simulated_Cambodia_pop_024,naive_coi_paramset1,Cambodia,2.33,0.2,0.5,0.2,100,100,3.6180105030251077,1.81,-1.81
simulated_Cambodia_pop_024,naive_coi_paramset2,Cambodia,2.33,0.2,0.5,0.2,100,100,3.324154027718934,1.45,-1.45
simulated_Cambodia_pop_024,naive_coi_paramset3,Cambodia,2.33,0.2,0.5,0.2,100,100,3.1496031496047254,1.42,-1.28
simulated_Cambodia_pop_024,naive_coi_paramset4,Cambodia,2.33,0.2,0.5,0.2,100,100,2.7440845468024486,1.23,-0.61
simulated_Cambodia_pop_024,naive_coi_paramset5,Cambodia,2.33,0.2,0.5,0.2,100,100,2.8337254630609507,1.23,-0.85
simulated_Cambodia_pop_024,naive_coi_paramset6,Cambodia,2.33,0.2,0.5,0.2,100,100,3.087069808086626,1.33,-1.27
simulated_Cambodia_pop_025,naive_coi_paramset1,Cambodia,99,0.7,0.25,0.5,100,100,0.264575131106459,0.05,-0.05
simulated_Cambodia_pop_025,naive_coi_paramset2,Cambodia,99,0.7,0.25,0.5,100,100,0.24494897427831777,0.04,0
simulated_Cambodia_pop_025,naive_coi_paramset3,Cambodia,99,0.7,0.25,0.5,100,100,0.5099019513592783,0.22,0.22
simulated_Cambodia_pop_025,naive_coi_paramset4,Cambodia,99,0.7,0.25,0.5,100,100,1,0.52,0.52
simulated_Cambodia_pop_025,naive_coi_paramset5,Cambodia,99,0.7,0.25,0.5,100,100,0.9273618495495703,0.46,0.46
simulated_Cambodia_pop_025,naive_coi_paramset6,Cambodia,99,0.7,0.25,0.5,100,100,0.4690415759823429,0.18,0.18
simulated_Cambodia_pop_026,naive_coi_paramset1,Cambodia,99,0.7,0.25,0.2,100,100,0.3605551275463988,0.05,-0.05
simulated_Cambodia_pop_026,naive_coi_paramset2,Cambodia,99,0.7,0.25,0.2,100,100,0.22360679774997919,0.03,-0.03
simulated_Cambodia_pop_026,naive_coi_paramset3,Cambodia,99,0.7,0.25,0.2,100,100,0.3464101615137756,0.1,0.08
simulated_Cambodia_pop_026,naive_coi_paramset4,Cambodia,99,0.7,0.25,0.2,100,100,0.7745966692414834,0.32,0.32
simulated_Cambodia_pop_026,naive_coi_paramset5,Cambodia,99,0.7,0.25,0.2,100,100,0.6855654600401044,0.27,0.25
simulated_Cambodia_pop_026,naive_coi_paramset6,Cambodia,99,0.7,0.25,0.2,100,100,0.2449489742783178,0.06,0.04
simulated_Cambodia_pop_027,naive_coi_paramset1,Cambodia,99,0.2,0.5,0.5,100,100,4.787483681434328,2.04,-2.04
simulated_Cambodia_pop_027,naive_coi_paramset2,Cambodia,99,0.2,0.5,0.5,100,100,4.36233882223745,1.59,-1.59
simulated_Cambodia_pop_027,naive_coi_paramset3,Cambodia,99,0.2,0.5,0.5,100,100,4.192851058647328,1.52,-1.26
simulated_Cambodia_pop_027,naive_coi_paramset4,Cambodia,99,0.2,0.5,0.5,100,100,3.0740852297878796,1.43,0.09
simulated_Cambodia_pop_027,naive_coi_paramset5,Cambodia,99,0.2,0.5,0.5,100,100,3.7735924528226406,1.48,-0.54
simulated_Cambodia_pop_027,naive_coi_paramset6,Cambodia,99,0.2,0.5,0.5,100,100,4.016217125604641,1.43,-1.21
simulated_Cambodia_pop_028,naive_coi_paramset1,Cambodia,99,0.2,0.5,0.2,100,100,3.745664160065611,1.75,-1.75
simulated_Cambodia_pop_028,naive_coi_paramset2,Cambodia,99,0.2,0.5,0.2,100,100,3.2496153618543877,1.32,-1.32
simulated_Cambodia_pop_028,naive_coi_paramset3,Cambodia,99,0.2,0.5,0.2,100,100,3.051229260478475,1.21,-0.91
simulated_Cambodia_pop_028,naive_coi_paramset4,Cambodia,99,0.2,0.5,0.2,100,100,2.08806130178211,1.16,0.22
simulated_Cambodia_pop_028,naive_coi_paramset5,Cambodia,99,0.2,0.5,0.2,100,100,2.7367864366808012,1.23,-0.37
simulated_Cambodia_pop_028,naive_coi_paramset6,Cambodia,99,0.2,0.5,0.2,100,100,2.9698484809835004,1.16,-0.88
simulated_Cambodia_pop_029,naive_coi_paramset1,Cambodia,9,0.7,0.25,0.5,100,100,0.4582575694955835,0.11,-0.11
simulated_Cambodia_pop_029,naive_coi_paramset2,Cambodia,9,0.7,0.25,0.5,100,100,0.2828427124746189,0.06,-0.06
simulated_Cambodia_pop_029,naive_coi_paramset3,Cambodia,9,0.7,0.25,0.5,100,100,0.3316624790355399,0.09,0.03
simulated_Cambodia_pop_029,naive_coi_paramset4,Cambodia,9,0.7,0.25,0.5,100,100,0.7615773105863908,0.34,0.32
simulated_Cambodia_pop_029,naive_coi_paramset5,Cambodia,9,0.7,0.25,0.5,100,100,0.5385164807134504,0.21,0.19
simulated_Cambodia_pop_029,naive_coi_paramset6,Cambodia,9,0.7,0.25,0.5,100,100,0.33166247903553997,0.09,0.03
simulated_Cambodia_pop_030,naive_coi_paramset1,Cambodia,9,0.7,0.25,0.2,100,100,0.4795831523312716,0.11,-0.11
simulated_Cambodia_pop_030,naive_coi_paramset2,Cambodia,9,0.7,0.25,0.2,100,100,0.3464101615137756,0.08,-0.08
