sim_id,paramset_id,country,pop_alpha,coi_p,coi_r,k_s,n_samples,n_rows,rmse,mae,bias
simulated_Cambodia_pop_030,naive_coi_paramset3,Cambodia,9,0.7,0.25,0.2,100,100,0.38729833462074137,0.11,-0.01
simulated_Cambodia_pop_030,naive_coi_paramset4,Cambodia,9,0.7,0.25,0.2,100,100,0.8306623862918076,0.41,0.37
simulated_Cambodia_pop_030,naive_coi_paramset5,Cambodia,9,0.7,0.25,0.2,100,100,0.6244997998398398,0.25,0.21
simulated_Cambodia_pop_030,naive_coi_paramset6,Cambodia,9,0.7,0.25,0.2,100,100,0.37416573867739406,0.1,-0.04
simulated_Cambodia_pop_031,naive_coi_paramset1,Cambodia,9,0.2,0.5,0.5,100,100,2.89136645896019,1.48,-1.48
simulated_Cambodia_pop_031,naive_coi_paramset2,Cambodia,9,0.2,0.5,0.5,100,100,2.4677925358506156,1.15,-1.15
simulated_Cambodia_pop_031,naive_coi_paramset3,Cambodia,9,0.2,0.5,0.5,100,100,2.269361143582045,1.03,-0.81
simulated_Cambodia_pop_031,naive_coi_paramset4,Cambodia,9,0.2,0.5,0.5,100,100,1.8027756377319946,0.87,0.05
simulated_Cambodia_pop_031,naive_coi_paramset5,Cambodia,9,0.2,0.5,0.5,100,100,1.884144368141677,0.83,-0.33
simulated_Cambodia_pop_031,naive_coi_paramset6,Cambodia,9,0.2,0.5,0.5,100,100,2.2293496809607953,0.95,-0.83
simulated_Cambodia_pop_032,naive_coi_paramset1,Cambodia,9,0.2,0.5,0.2,100,100,2.3108440016582676,1.1,-1.1
simulated_Cambodia_pop_032,naive_coi_paramset2,Cambodia,9,0.2,0.5,0.2,100,100,1.9974984355438175,0.81,-0.81
simulated_Cambodia_pop_032,naive_coi_paramset3,Cambodia,9,0.2,0.5,0.2,100,100,1.7999999999999992,0.8,-0.52
simulated_Cambodia_pop_032,naive_coi_paramset4,Cambodia,9,0.2,0.5,0.2,100,100,1.4387494569938157,0.81,0.29
simulated_Cambodia_pop_032,naive_coi_paramset5,Cambodia,9,0.2,0.5,0.2,100,100,1.5,0.73,-0.11
simulated_Cambodia_pop_032,naive_coi_paramset6,Cambodia,9,0.2,0.5,0.2,100,100,1.7204650534085253,0.72,-0.52
simulated_Cambodia_pop_033,naive_coi_paramset1,Cambodia,2.33,0.7,0.25,0.5,100,100,0.1732050807568877,0.03,-0.03
simulated_Cambodia_pop_033,naive_coi_paramset2,Cambodia,2.33,0.7,0.25,0.5,100,100,0.09999999999999998,0.01,-0.01
simulated_Cambodia_pop_033,naive_coi_paramset3,Cambodia,2.33,0.7,0.25,0.5,100,100,0.14142135623730945,0.02,0.02
simulated_Cambodia_pop_033,naive_coi_paramset4,Cambodia,2.33,0.7,0.25,0.5,100,100,0.6633249580710799,0.3,0.3
simulated_Cambodia_pop_033,naive_coi_paramset5,Cambodia,2.33,0.7,0.25,0.5,100,100,0.43588989435406733,0.17,0.17
simulated_Cambodia_pop_033,naive_coi_paramset6,Cambodia,2.33,0.7,0.25,0.5,100,100,0.14142135623730945,0.02,0
simulated_Cambodia_pop_034,naive_coi_paramset1,Cambodia,2.33,0.7,0.25,0.2,100,100,0.24494897427831788,0.04,-0.04
simulated_Cambodia_pop_034,naive_coi_paramset2,Cambodia,2.33,0.7,0.25,0.2,100,100,0.14142135623730945,0.02,0
simulated_Cambodia_pop_034,naive_coi_paramset3,Cambodia,2.33,0.7,0.25,0.2,100,100,0.36055512754639873,0.13,0.11
simulated_Cambodia_pop_034,naive_coi_paramset4,Cambodia,2.33,0.7,0.25,0.2,100,100,0.6164414002968976,0.24,0.24
simulated_Cambodia_pop_034,naive_coi_paramset5,Cambodia,2.33,0.7,0.25,0.2,100,100,0.4358898943540674,0.17,0.15
simulated_Cambodia_pop_034,naive_coi_paramset6,Cambodia,2.33,0.7,0.25,0.2,100,100,0.3464101615137754,0.12,0.1
