sim_id,country,pop_alpha,coi_p,coi_r,k_s,n_samples,n_rows,mean_tool_coi,mean_sim_coi,mean_error,abs_mean_error,mean_sq_error
simulated_Cambodia_pop_001,Cambodia,99,0.7,0.25,0.5,100,600,1.4916666666666667,1.33,0.16166666666666663,0.16166666666666663,0.026136111111111096
simulated_Cambodia_pop_002,Cambodia,99,0.7,0.25,0.2,100,600,1.4166666666666667,1.28,0.13666666666666671,0.13666666666666671,0.01867777777777779
simulated_Cambodia_pop_003,Cambodia,99,0.2,0.5,0.5,100,600,2.74,3.82,-1.0799999999999996,1.0799999999999996,1.1663999999999992
simulated_Cambodia_pop_004,Cambodia,99,0.2,0.5,0.2,100,600,2.9066666666666667,3.9,-0.9933333333333332,0.9933333333333332,0.9867111111111108
simulated_Cambodia_pop_005,Cambodia,9,0.7,0.25,0.5,100,600,1.42,1.36,0.05999999999999983,0.05999999999999983,0.00359999999999998
simulated_Cambodia_pop_006,Cambodia,9,0.7,0.25,0.2,100,600,1.5033333333333334,1.44,0.06333333333333346,0.06333333333333346,0.004011111111111128
simulated_Cambodia_pop_007,Cambodia,9,0.2,0.5,0.5,100,600,2.4983333333333335,4.1,-1.6016666666666661,1.6016666666666661,2.5653361111111095
simulated_Cambodia_pop_008,Cambodia,9,0.2,0.5,0.2,100,600,2.558333333333333,3.43,-0.871666666666667,0.871666666666667,0.7598027777777784
simulated_Cambodia_pop_009,Cambodia,2.33,0.7,0.25,0.5,100,600,1.325,1.33,-0.0050000000000001155,0.0050000000000001155,2.5000000000001153e-5
simulated_Cambodia_pop_010,Cambodia,2.33,0.7,0.25,0.2,100,600,1.2666666666666666,1.31,-0.043333333333333446,0.043333333333333446,0.0018777777777777874
simulated_Cambodia_pop_011,Cambodia,2.33,0.2,0.5,0.5,100,600,2.19,3.46,-1.27,1.27,1.6129
simulated_Cambodia_pop_012,Cambodia,2.33,0.2,0.5,0.2,100,600,2.091666666666667,2.93,-0.8383333333333334,0.8383333333333334,0.7028027777777779
simulated_Cambodia_pop_013,Cambodia,99,0.7,0.25,0.5,100,600,1.4316666666666666,1.29,0.1416666666666666,0.1416666666666666,0.020069444444444428
simulated_Cambodia_pop_014,Cambodia,99,0.7,0.25,0.2,100,600,1.3366666666666667,1.25,0.08666666666666667,0.08666666666666667,0.007511111111111112
simulated_Cambodia_pop_015,Cambodia,99,0.2,0.5,0.5,100,600,2.735,3.98,-1.245,1.245,1.5500250000000002
simulated_Cambodia_pop_016,Cambodia,99,0.2,0.5,0.2,100,600,2.6083333333333334,3.34,-0.7316666666666665,0.7316666666666665,0.5353361111111108
simulated_Cambodia_pop_017,Cambodia,9,0.7,0.25,0.5,100,600,1.255,1.2,0.05499999999999994,0.05499999999999994,0.003024999999999993
simulated_Cambodia_pop_018,Cambodia,9,0.7,0.25,0.2,100,600,1.395,1.26,0.135,0.135,0.018225
simulated_Cambodia_pop_019,Cambodia,9,0.2,0.5,0.5,100,600,2.655,3.67,-1.0150000000000001,1.0150000000000001,1.0302250000000002
simulated_Cambodia_pop_020,Cambodia,9,0.2,0.5,0.2,100,600,2.3833333333333333,3.09,-0.7066666666666666,0.7066666666666666,0.49937777777777764
simulated_Cambodia_pop_021,Cambodia,2.33,0.7,0.25,0.5,100,600,1.3016666666666667,1.3,0.0016666666666667052,0.0016666666666667052,2.7777777777779062e-6
simulated_Cambodia_pop_022,Cambodia,2.33,0.7,0.25,0.2,100,600,1.235,1.2,0.03500000000000014,0.03500000000000014,0.00122500000000001
simulated_Cambodia_pop_023,Cambodia,2.33,0.2,0.5,0.5,100,600,2.1633333333333336,3.38,-1.2166666666666663,1.2166666666666663,1.480277777777777
simulated_Cambodia_pop_024,Cambodia,2.33,0.2,0.5,0.2,100,600,2.2783333333333333,3.49,-1.211666666666667,1.211666666666667,1.4681361111111118
simulated_Cambodia_pop_025,Cambodia,99,0.7,0.25,0.5,100,600,1.5516666666666667,1.33,0.22166666666666668,0.22166666666666668,0.049136111111111117
simulated_Cambodia_pop_026,Cambodia,99,0.7,0.25,0.2,100,600,1.3416666666666666,1.24,0.10166666666666657,0.10166666666666657,0.010336111111111091
simulated_Cambodia_pop_027,Cambodia,99,0.2,0.5,0.5,100,600,2.6983333333333333,3.79,-1.0916666666666668,1.0916666666666668,1.1917361111111113
simulated_Cambodia_pop_028,Cambodia,99,0.2,0.5,0.2,100,600,2.605,3.44,-0.835,0.835,0.697225
simulated_Cambodia_pop_029,Cambodia,9,0.7,0.25,0.5,100,600,1.4066666666666667,1.34,0.06666666666666665,0.06666666666666665,0.004444444444444443
simulated_Cambodia_pop_030,Cambodia,9,0.7,0.25,0.2,100,600,1.4166666666666667,1.36,0.05666666666666664,0.05666666666666664,0.0032111111111111086
simulated_Cambodia_pop_031,Cambodia,9,0.2,0.5,0.5,100,600,2.361666666666667,3.12,-0.7583333333333333,0.7583333333333333,0.5750694444444444
simulated_Cambodia_pop_032,Cambodia,9,0.2,0.5,0.2,100,600,2.2383333333333333,2.7,-0.4616666666666669,0.4616666666666669,0.21313611111111133
simulated_Cambodia_pop_033,Cambodia,2.33,0.7,0.25,0.5,100,600,1.315,1.24,0.07499999999999996,0.07499999999999996,0.005624999999999994
