sample_id,paramset_id,country,pop_alpha,coi_p,coi_r,k_s,n_rows,rmse,mae,bias
1,naive_coi_paramset3,Ghana,9,0.7,0.25,0.5,10,0.7071067811865476,0.3,0.3
1,naive_coi_paramset3,Ghana,99,0.2,0.5,0.2,10,3.22490309931942,2,-1.8
1,naive_coi_paramset3,Ghana,99,0.2,0.5,0.5,10,1.51657508881031,1.3,0.9
1,naive_coi_paramset3,Ghana,99,0.7,0.25,0.2,10,0,0,0
1,naive_coi_paramset3,Ghana,99,0.7,0.25,0.5,10,1.0954451150103321,0.6,0.6
1,naive_coi_paramset4,Cambodia,2.33,0.2,0.5,0.2,10,2.4083189157584592,1.2,-1
1,naive_coi_paramset4,Cambodia,2.33,0.2,0.5,0.5,10,2.588435821108957,1.1,-0.5
1,naive_coi_paramset4,Cambodia,2.33,0.7,0.25,0.2,10,0.7745966692414834,0.4,0.2
1,naive_coi_paramset4,Cambodia,2.33,0.7,0.25,0.5,10,0.31622776601683794,0.1,0.1
1,naive_coi_paramset4,Cambodia,9,0.2,0.5,0.2,10,3.2093613071762426,1.3,-0.7
1,naive_coi_paramset4,Cambodia,9,0.2,0.5,0.5,10,1.4142135623730951,0.8,0
1,naive_coi_paramset4,Cambodia,9,0.7,0.25,0.2,10,0.7745966692414834,0.4,0.4
1,naive_coi_paramset4,Cambodia,9,0.7,0.25,0.5,10,0.9486832980505137,0.3,0.3
1,naive_coi_paramset4,Cambodia,99,0.2,0.5,0.2,10,1.378404875209022,0.9,-0.1
1,naive_coi_paramset4,Cambodia,99,0.2,0.5,0.5,10,1.7320508075688772,1,0.8
1,naive_coi_paramset4,Cambodia,99,0.7,0.25,0.2,10,0.7071067811865476,0.3,0.3
1,naive_coi_paramset4,Cambodia,99,0.7,0.25,0.5,10,0.894427190999916,0.4,0.4
1,naive_coi_paramset4,Ghana,2.33,0.2,0.5,0.2,10,1.4832396974191326,1,-0.4
1,naive_coi_paramset4,Ghana,2.33,0.2,0.5,0.5,10,1,0.6,0.2
1,naive_coi_paramset4,Ghana,2.33,0.7,0.25,0.2,10,0.7071067811865476,0.3,0.3
1,naive_coi_paramset4,Ghana,2.33,0.7,0.25,0.5,10,0.8366600265340756,0.5,0.5
1,naive_coi_paramset4,Ghana,9,0.2,0.5,0.2,10,3.6193922141707717,2.3,-1.1
1,naive_coi_paramset4,Ghana,9,0.2,0.5,0.5,10,1.3038404810405297,0.9,0.7
1,naive_coi_paramset4,Ghana,9,0.7,0.25,0.2,10,0,0,0
1,naive_coi_paramset4,Ghana,9,0.7,0.25,0.5,10,1.140175425099138,0.5,0.5
1,naive_coi_paramset4,Ghana,99,0.2,0.5,0.2,10,1.70293863659264,1.1,-0.1
1,naive_coi_paramset4,Ghana,99,0.2,0.5,0.5,10,2.2135943621178655,1.9,1.9
1,naive_coi_paramset4,Ghana,99,0.7,0.25,0.2,10,0,0,0
1,naive_coi_paramset4,Ghana,99,0.7,0.25,0.5,10,1.5165750888103102,0.9,0.9
1,naive_coi_paramset5,Cambodia,2.33,0.2,0.5,0.2,10,2.588435821108957,1.3,-1.3
1,naive_coi_paramset5,Cambodia,2.33,0.2,0.5,0.5,10,2.588435821108957,1.1,-0.7
1,naive_coi_paramset5,Cambodia,2.33,0.7,0.25,0.2,10,0.9486832980505138,0.5,0.1
1,naive_coi_paramset5,Cambodia,2.33,0.7,0.25,0.5,10,0,0,0
1,naive_coi_paramset5,Cambodia,9,0.2,0.5,0.2,10,3.521363372331802,1.4,-1
1,naive_coi_paramset5,Cambodia,9,0.2,0.5,0.5,10,1.8973665961010275,1,-0.8
1,naive_coi_paramset5,Cambodia,9,0.7,0.25,0.2,10,0.5477225575051661,0.3,0.3
1,naive_coi_paramset5,Cambodia,9,0.7,0.25,0.5,10,0.6324555320336759,0.2,0.2
1,naive_coi_paramset5,Cambodia,99,0.2,0.5,0.2,10,1.51657508881031,1.1,-0.5
1,naive_coi_paramset5,Cambodia,99,0.2,0.5,0.5,10,0.8944271909999159,0.6,0.2
1,naive_coi_paramset5,Cambodia,99,0.7,0.25,0.2,10,0.7071067811865476,0.3,0.3
1,naive_coi_paramset5,Cambodia,99,0.7,0.25,0.5,10,0.894427190999916,0.4,0.4
1,naive_coi_paramset5,Ghana,2.33,0.2,0.5,0.2,10,2.0976176963403033,1.4,-0.8
1,naive_coi_paramset5,Ghana,2.33,0.2,0.5,0.5,10,0.6324555320336759,0.4,0
1,naive_coi_paramset5,Ghana,2.33,0.7,0.25,0.2,10,0.6324555320336759,0.2,0.2
1,naive_coi_paramset5,Ghana,2.33,0.7,0.25,0.5,10,0.31622776601683794,0.1,0.1
1,naive_coi_paramset5,Ghana,9,0.2,0.5,0.2,10,3.9749213828703582,2.4,-1.6
1,naive_coi_paramset5,Ghana,9,0.2,0.5,0.5,10,0.9486832980505138,0.7,0.5
1,naive_coi_paramset5,Ghana,9,0.7,0.25,0.2,10,0,0,0
1,naive_coi_paramset5,Ghana,9,0.7,0.25,0.5,10,1,0.4,0.4
1,naive_coi_paramset5,Ghana,99,0.2,0.5,0.2,10,2.1447610589527213,1.2,-0.8
1,naive_coi_paramset5,Ghana,99,0.2,0.5,0.5,10,1.6733200530681511,1.4,1.4
1,naive_coi_paramset5,Ghana,99,0.7,0.25,0.2,10,0,0,0
1,naive_coi_paramset5,Ghana,99,0.7,0.25,0.5,10,1.0954451150103321,0.6,0.6
1,naive_coi_paramset6,Cambodia,2.33,0.2,0.5,0.2,10,2.880972058177587,1.5,-1.5
1,naive_coi_paramset6,Cambodia,2.33,0.2,0.5,0.5,10,2.898275349237888,1.2,-1.2
1,naive_coi_paramset6,Cambodia,2.33,0.7,0.25,0.2,10,0.8366600265340755,0.5,-0.1
1,naive_coi_paramset6,Cambodia,2.33,0.7,0.25,0.5,10,0,0,0
1,naive_coi_paramset6,Cambodia,9,0.2,0.5,0.2,10,3.8470768123342687,1.4,-1.4
1,naive_coi_paramset6,Cambodia,9,0.2,0.5,0.5,10,2.23606797749979,1.2,-1.2
1,naive_coi_paramset6,Cambodia,9,0.7,0.25,0.2,10,0.31622776601683794,0.1,-0.1
1,naive_coi_paramset6,Cambodia,9,0.7,0.25,0.5,10,0,0,0
1,naive_coi_paramset6,Cambodia,99,0.2,0.5,0.2,10,1.9748417658131499,1.3,-1.1
1,naive_coi_paramset6,Cambodia,99,0.2,0.5,0.5,10,0.5477225575051661,0.3,-0.1
1,naive_coi_paramset6,Cambodia,99,0.7,0.25,0.2,10,0,0,0
1,naive_coi_paramset6,Cambodia,99,0.7,0.25,0.5,10,0.447213595499958,0.2,0.2
1,naive_coi_paramset6,Ghana,2.33,0.2,0.5,0.2,10,2.7748873851023217,1.5,-1.5
1,naive_coi_paramset6,Ghana,2.33,0.2,0.5,0.5,10,0.8366600265340756,0.5,-0.3
1,naive_coi_paramset6,Ghana,2.33,0.7,0.25,0.2,10,0.447213595499958,0.2,-0.2
1,naive_coi_paramset6,Ghana,2.33,0.7,0.25,0.5,10,0.31622776601683794,0.1,0.1
1,naive_coi_paramset6,Ghana,9,0.2,0.5,0.2,10,4.8270073544588685,2.9,-2.3
1,naive_coi_paramset6,Ghana,9,0.2,0.5,0.5,10,0.7071067811865476,0.5,0.1
1,naive_coi_paramset6,Ghana,9,0.7,0.25,0.2,10,0,0,0
1,naive_coi_paramset6,Ghana,9,0.7,0.25,0.5,10,0.6324555320336759,0.2,0.2
1,naive_coi_paramset6,Ghana,99,0.2,0.5,0.2,10,2.8809720581775866,1.7,-1.5
1,naive_coi_paramset6,Ghana,99,0.2,0.5,0.5,10,1.1832159566199232,1,0.8
1,naive_coi_paramset6,Ghana,99,0.7,0.25,0.2,10,0,0,0
1,naive_coi_paramset6,Ghana,99,0.7,0.25,0.5,10,0.7745966692414834,0.4,0.4
10,naive_coi_paramset1,Cambodia,2.33,0.2,0.5,0.2,10,2.569046515733026,1,-1
10,naive_coi_paramset1,Cambodia,2.33,0.2,0.5,0.5,10,0.7071067811865476,0.3,-0.3
10,naive_coi_paramset1,Cambodia,2.33,0.7,0.25,0.2,10,0.31622776601683794,0.1,-0.1
10,naive_coi_paramset1,Cambodia,2.33,0.7,0.25,0.5,10,0,0,0
10,naive_coi_paramset1,Cambodia,9,0.2,0.5,0.2,10,1.2649110640673518,1,-1
10,naive_coi_paramset1,Cambodia,9,0.2,0.5,0.5,10,5.375872022286244,3.1,-3.1
10,naive_coi_paramset1,Cambodia,9,0.7,0.25,0.2,10,0,0,0
10,naive_coi_paramset1,Cambodia,9,0.7,0.25,0.5,10,0,0,0
10,naive_coi_paramset1,Cambodia,99,0.2,0.5,0.2,10,1.140175425099138,0.5,-0.5
10,naive_coi_paramset1,Cambodia,99,0.2,0.5,0.5,10,2.258317958127243,1.5,-1.5
10,naive_coi_paramset1,Cambodia,99,0.7,0.25,0.2,10,0.6324555320336759,0.2,-0.2
10,naive_coi_paramset1,Cambodia,99,0.7,0.25,0.5,10,0,0,0
10,naive_coi_paramset1,Ghana,2.33,0.2,0.5,0.2,10,4.538722287164087,2.4,-2.4
10,naive_coi_paramset1,Ghana,2.33,0.2,0.5,0.5,10,5.244044240850758,2.7,-2.7
10,naive_coi_paramset1,Ghana,2.33,0.7,0.25,0.2,10,0,0,0
10,naive_coi_paramset1,Ghana,2.33,0.7,0.25,0.5,10,0,0,0
10,naive_coi_paramset1,Ghana,9,0.2,0.5,0.2,10,2.04939015319192,1,-1
10,naive_coi_paramset1,Ghana,9,0.2,0.5,0.5,10,2.073644135332772,1.1,-1.1
10,naive_coi_paramset1,Ghana,9,0.7,0.25,0.2,10,0,0,0
10,naive_coi_paramset1,Ghana,9,0.7,0.25,0.5,10,0.6324555320336759,0.2,-0.2
10,naive_coi_paramset1,Ghana,99,0.2,0.5,0.2,10,2.4899799195977463,1.4,-1.4
10,naive_coi_paramset1,Ghana,99,0.2,0.5,0.5,10,2.489979919597747,1.6,-1.6
10,naive_coi_paramset1,Ghana,99,0.7,0.25,0.2,10,0,0,0
10,naive_coi_paramset1,Ghana,99,0.7,0.25,0.5,10,0.31622776601683794,0.1,-0.1
10,naive_coi_paramset2,Cambodia,2.33,0.2,0.5,0.2,10,2.5495097567963922,0.9,-0.9
10,naive_coi_paramset2,Cambodia,2.33,0.2,0.5,0.5,10,0.7071067811865476,0.3,-0.3
10,naive_coi_paramset2,Cambodia,2.33,0.7,0.25,0.2,10,0.31622776601683794,0.1,-0.1
10,naive_coi_paramset2,Cambodia,2.33,0.7,0.25,0.5,10,0,0,0
10,naive_coi_paramset2,Cambodia,9,0.2,0.5,0.2,10,1.2649110640673518,1,-1
10,naive_coi_paramset2,Cambodia,9,0.2,0.5,0.5,10,5.118593556827891,2.6,-2.6
10,naive_coi_paramset2,Cambodia,9,0.7,0.25,0.2,10,0,0,0
10,naive_coi_paramset2,Cambodia,9,0.7,0.25,0.5,10,0,0,0
10,naive_coi_paramset2,Cambodia,99,0.2,0.5,0.2,10,0.7071067811865476,0.3,-0.3
10,naive_coi_paramset2,Cambodia,99,0.2,0.5,0.5,10,1.449137674618944,0.9,-0.9
10,naive_coi_paramset2,Cambodia,99,0.7,0.25,0.2,10,0.31622776601683794,0.1,-0.1
10,naive_coi_paramset2,Cambodia,99,0.7,0.25,0.5,10,0,0,0
10,naive_coi_paramset2,Ghana,2.33,0.2,0.5,0.2,10,4.03732584763727,2.1,-1.9
10,naive_coi_paramset2,Ghana,2.33,0.2,0.5,0.5,10,4.753945729601885,2.2,-2.2
10,naive_coi_paramset2,Ghana,2.33,0.7,0.25,0.2,10,0,0,0
10,naive_coi_paramset2,Ghana,2.33,0.7,0.25,0.5,10,0,0,0
10,naive_coi_paramset2,Ghana,9,0.2,0.5,0.2,10,1.6431676725154984,0.7,-0.5
10,naive_coi_paramset2,Ghana,9,0.2,0.5,0.5,10,1.70293863659264,0.7,-0.7
10,naive_coi_paramset2,Ghana,9,0.7,0.25,0.2,10,0,0,0
10,naive_coi_paramset2,Ghana,9,0.7,0.25,0.5,10,0,0,0
10,naive_coi_paramset2,Ghana,99,0.2,0.5,0.2,10,2.0248456731316584,1.3,-0.7
10,naive_coi_paramset2,Ghana,99,0.2,0.5,0.5,10,1.8708286933869707,1.1,-0.9
10,naive_coi_paramset2,Ghana,99,0.7,0.25,0.2,10,0,0,0
10,naive_coi_paramset2,Ghana,99,0.7,0.25,0.5,10,0.31622776601683794,0.1,0.1
10,naive_coi_paramset3,Cambodia,2.33,0.2,0.5,0.2,10,2.258317958127243,0.9,-0.7
10,naive_coi_paramset3,Cambodia,2.33,0.2,0.5,0.5,10,0.6324555320336759,0.2,-0.2
10,naive_coi_paramset3,Cambodia,2.33,0.7,0.25,0.2,10,0.44721359549995793,0.2,0
10,naive_coi_paramset3,Cambodia,2.33,0.7,0.25,0.5,10,0.44721359549995793,0.2,0.2
10,naive_coi_paramset3,Cambodia,9,0.2,0.5,0.2,10,0.5477225575051661,0.3,-0.1
10,naive_coi_paramset3,Cambodia,9,0.2,0.5,0.5,10,4.701063709417264,2.3,-2.3
10,naive_coi_paramset3,Cambodia,9,0.7,0.25,0.2,10,0.31622776601683794,0.1,0.1
10,naive_coi_paramset3,Cambodia,9,0.7,0.25,0.5,10,0,0,0
10,naive_coi_paramset3,Cambodia,99,0.2,0.5,0.2,10,0.7745966692414834,0.4,0
10,naive_coi_paramset3,Cambodia,99,0.2,0.5,0.5,10,1.0954451150103321,0.8,-0.4
10,naive_coi_paramset3,Cambodia,99,0.7,0.25,0.2,10,0.7071067811865476,0.3,0.1
10,naive_coi_paramset3,Cambodia,99,0.7,0.25,0.5,10,0.31622776601683794,0.1,0.1
10,naive_coi_paramset3,Ghana,2.33,0.2,0.5,0.2,10,3.9749213828703582,2.2,-1.6
10,naive_coi_paramset3,Ghana,2.33,0.2,0.5,0.5,10,4.636809247747852,2.1,-1.9
10,naive_coi_paramset3,Ghana,2.33,0.7,0.25,0.2,10,0.31622776601683794,0.1,0.1
10,naive_coi_paramset3,Ghana,2.33,0.7,0.25,0.5,10,0.447213595499958,0.2,0.2
10,naive_coi_paramset3,Ghana,9,0.2,0.5,0.2,10,1.7320508075688772,1,0
10,naive_coi_paramset3,Ghana,9,0.2,0.5,0.5,10,1.4832396974191326,0.8,-0.4
10,naive_coi_paramset3,Ghana,9,0.7,0.25,0.2,10,0.31622776601683794,0.1,0.1
10,naive_coi_paramset3,Ghana,9,0.7,0.25,0.5,10,0,0,0
10,naive_coi_paramset3,Ghana,99,0.2,0.5,0.2,10,1.816590212458495,1.3,-0.5
10,naive_coi_paramset3,Ghana,99,0.2,0.5,0.5,10,1.816590212458495,1.3,-0.5
10,naive_coi_paramset3,Ghana,99,0.7,0.25,0.2,10,0,0,0
10,naive_coi_paramset3,Ghana,99,0.7,0.25,0.5,10,0.31622776601683794,0.1,0.1
10,naive_coi_paramset4,Cambodia,2.33,0.2,0.5,0.2,10,2.3021728866442674,1.1,-0.3
10,naive_coi_paramset4,Cambodia,2.33,0.2,0.5,0.5,10,0.6324555320336759,0.4,0.2
10,naive_coi_paramset4,Cambodia,2.33,0.7,0.25,0.2,10,0.7071067811865476,0.3,0.3
10,naive_coi_paramset4,Cambodia,2.33,0.7,0.25,0.5,10,0.7071067811865476,0.3,0.3
10,naive_coi_paramset4,Cambodia,9,0.2,0.5,0.2,10,0.9486832980505138,0.7,0.7
10,naive_coi_paramset4,Cambodia,9,0.2,0.5,0.5,10,3.9370039370059056,1.9,-0.9
10,naive_coi_paramset4,Cambodia,9,0.7,0.25,0.2,10,0.7071067811865476,0.3,0.3
10,naive_coi_paramset4,Cambodia,9,0.7,0.25,0.5,10,0.7071067811865476,0.3,0.3
10,naive_coi_paramset4,Cambodia,99,0.2,0.5,0.2,10,1.378404875209022,1.1,1.1
10,naive_coi_paramset4,Cambodia,99,0.2,0.5,0.5,10,1.3038404810405297,1.1,0.5
10,naive_coi_paramset4,Cambodia,99,0.7,0.25,0.2,10,0.7071067811865476,0.3,0.3
10,naive_coi_paramset4,Cambodia,99,0.7,0.25,0.5,10,0.9486832980505138,0.5,0.5
10,naive_coi_paramset4,Ghana,2.33,0.2,0.5,0.2,10,3.4641016151377544,2.4,-0.8
10,naive_coi_paramset4,Ghana,2.33,0.2,0.5,0.5,10,3.6193922141707717,1.5,-1.3
10,naive_coi_paramset4,Ghana,2.33,0.7,0.25,0.2,10,0.6324555320336759,0.4,0.4
10,naive_coi_paramset4,Ghana,2.33,0.7,0.25,0.5,10,0.894427190999916,0.4,0.4
10,naive_coi_paramset4,Ghana,9,0.2,0.5,0.2,10,1.7320508075688772,1.6,1.2
10,naive_coi_paramset4,Ghana,9,0.2,0.5,0.5,10,1.51657508881031,0.9,0.7
10,naive_coi_paramset4,Ghana,9,0.7,0.25,0.2,10,0.7071067811865476,0.3,0.3
10,naive_coi_paramset4,Ghana,9,0.7,0.25,0.5,10,0.9486832980505138,0.3,0.3
10,naive_coi_paramset4,Ghana,99,0.2,0.5,0.2,10,1.4832396974191326,1.2,0.6
10,naive_coi_paramset4,Ghana,99,0.2,0.5,0.5,10,3.082207001484488,1.9,1.9
10,naive_coi_paramset4,Ghana,99,0.7,0.25,0.2,10,0.31622776601683794,0.1,0.1
10,naive_coi_paramset4,Ghana,99,0.7,0.25,0.5,10,0.6324555320336759,0.2,0.2
10,naive_coi_paramset5,Cambodia,2.33,0.2,0.5,0.2,10,2.280350850198276,1,-0.4
10,naive_coi_paramset5,Cambodia,2.33,0.2,0.5,0.5,10,0.6324555320336759,0.4,0.2
10,naive_coi_paramset5,Cambodia,2.33,0.7,0.25,0.2,10,0.31622776601683794,0.1,0.1
10,naive_coi_paramset5,Cambodia,2.33,0.7,0.25,0.5,10,0.44721359549995793,0.2,0.2
10,naive_coi_paramset5,Cambodia,9,0.2,0.5,0.2,10,0.7745966692414834,0.6,0.4
10,naive_coi_paramset5,Cambodia,9,0.2,0.5,0.5,10,3.96232255123179,1.9,-1.5
10,naive_coi_paramset5,Cambodia,9,0.7,0.25,0.2,10,0.44721359549995793,0.2,0.2
10,naive_coi_paramset5,Cambodia,9,0.7,0.25,0.5,10,0.31622776601683794,0.1,0.1
10,naive_coi_paramset5,Cambodia,99,0.2,0.5,0.2,10,1,0.6,0.4
10,naive_coi_paramset5,Cambodia,99,0.2,0.5,0.5,10,1.1832159566199232,1,0.2
10,naive_coi_paramset5,Cambodia,99,0.7,0.25,0.2,10,0.6324555320336759,0.2,0.2
10,naive_coi_paramset5,Cambodia,99,0.7,0.25,0.5,10,0.9486832980505138,0.5,0.5
10,naive_coi_paramset5,Ghana,2.33,0.2,0.5,0.2,10,3.5355339059327378,2.3,-1.1
10,naive_coi_paramset5,Ghana,2.33,0.2,0.5,0.5,10,3.9242833740697165,1.6,-1.4
10,naive_coi_paramset5,Ghana,2.33,0.7,0.25,0.2,10,0.44721359549995793,0.2,0.2
10,naive_coi_paramset5,Ghana,2.33,0.7,0.25,0.5,10,0.447213595499958,0.2,0.2
10,naive_coi_paramset5,Ghana,9,0.2,0.5,0.2,10,1.449137674618944,1.3,0.9
10,naive_coi_paramset5,Ghana,9,0.2,0.5,0.5,10,1.140175425099138,0.7,0.3
10,naive_coi_paramset5,Ghana,9,0.7,0.25,0.2,10,0.6324555320336759,0.2,0.2
10,naive_coi_paramset5,Ghana,9,0.7,0.25,0.5,10,0.31622776601683794,0.1,0.1
10,naive_coi_paramset5,Ghana,99,0.2,0.5,0.2,10,1.70293863659264,1.3,0.3
10,naive_coi_paramset5,Ghana,99,0.2,0.5,0.5,10,1.224744871391589,0.9,0.5
10,naive_coi_paramset5,Ghana,99,0.7,0.25,0.2,10,0,0,0
10,naive_coi_paramset5,Ghana,99,0.7,0.25,0.5,10,0.6324555320336759,0.2,0.2
10,naive_coi_paramset6,Cambodia,2.33,0.2,0.5,0.2,10,2.258317958127243,0.9,-0.7
10,naive_coi_paramset6,Cambodia,2.33,0.2,0.5,0.5,10,0.7071067811865476,0.3,-0.3
10,naive_coi_paramset6,Cambodia,2.33,0.7,0.25,0.2,10,0.44721359549995793,0.2,0
10,naive_coi_paramset6,Cambodia,2.33,0.7,0.25,0.5,10,0.31622776601683794,0.1,0.1
10,naive_coi_paramset6,Cambodia,9,0.2,0.5,0.2,10,0.5477225575051661,0.3,-0.3
10,naive_coi_paramset6,Cambodia,9,0.2,0.5,0.5,10,4.593473631142341,2.1,-2.1
10,naive_coi_paramset6,Cambodia,9,0.7,0.25,0.2,10,0.31622776601683794,0.1,0.1
10,naive_coi_paramset6,Cambodia,9,0.7,0.25,0.5,10,0,0,0
10,naive_coi_paramset6,Cambodia,99,0.2,0.5,0.2,10,0.5477225575051661,0.3,0.1
10,naive_coi_paramset6,Cambodia,99,0.2,0.5,0.5,10,0.9486832980505138,0.7,-0.3
10,naive_coi_paramset6,Cambodia,99,0.7,0.25,0.2,10,0.44721359549995793,0.2,0
10,naive_coi_paramset6,Cambodia,99,0.7,0.25,0.5,10,0.31622776601683794,0.1,0.1
10,naive_coi_paramset6,Ghana,2.33,0.2,0.5,0.2,10,3.9749213828703582,2.2,-1.6
