sample_id,paramset_id,country,pop_alpha,coi_p,coi_r,k_s,n_rows,rmse,mae,bias
1,naive_coi_paramset1,Cambodia,2.33,0.2,0.5,0.2,10,3.271085446759225,1.7,-1.7
1,naive_coi_paramset1,Cambodia,2.33,0.2,0.5,0.5,10,3.3166247903554,1.6,-1.6
1,naive_coi_paramset1,Cambodia,2.33,0.7,0.25,0.2,10,0.8944271909999159,0.4,-0.4
1,naive_coi_paramset1,Cambodia,2.33,0.7,0.25,0.5,10,0,0,0
1,naive_coi_paramset1,Cambodia,9,0.2,0.5,0.2,10,4.242640687119285,1.8,-1.8
1,naive_coi_paramset1,Cambodia,9,0.2,0.5,0.5,10,2.9154759474226504,1.9,-1.9
1,naive_coi_paramset1,Cambodia,9,0.7,0.25,0.2,10,0.7071067811865476,0.3,-0.3
1,naive_coi_paramset1,Cambodia,9,0.7,0.25,0.5,10,0,0,0
1,naive_coi_paramset1,Cambodia,99,0.2,0.5,0.2,10,3.2093613071762426,2.1,-2.1
1,naive_coi_paramset1,Cambodia,99,0.2,0.5,0.5,10,1.378404875209022,0.7,-0.7
1,naive_coi_paramset1,Cambodia,99,0.7,0.25,0.2,10,0,0,0
1,naive_coi_paramset1,Cambodia,99,0.7,0.25,0.5,10,0,0,0
1,naive_coi_paramset1,Ghana,2.33,0.2,0.5,0.2,10,3.687817782917155,2.2,-2.2
1,naive_coi_paramset1,Ghana,2.33,0.2,0.5,0.5,10,1.760681686165901,1.3,-1.3
1,naive_coi_paramset1,Ghana,2.33,0.7,0.25,0.2,10,0.7071067811865476,0.3,-0.3
1,naive_coi_paramset1,Ghana,2.33,0.7,0.25,0.5,10,0,0,0
1,naive_coi_paramset1,Ghana,9,0.2,0.5,0.2,10,5.865151319446071,3.6,-3.6
1,naive_coi_paramset1,Ghana,9,0.2,0.5,0.5,10,1.4142135623730951,0.8,-0.8
1,naive_coi_paramset1,Ghana,9,0.7,0.25,0.2,10,0,0,0
1,naive_coi_paramset1,Ghana,9,0.7,0.25,0.5,10,0,0,0
1,naive_coi_paramset1,Ghana,99,0.2,0.5,0.2,10,4.147288270665544,2.6,-2.6
1,naive_coi_paramset1,Ghana,99,0.2,0.5,0.5,10,1.0488088481701516,0.5,-0.5
1,naive_coi_paramset1,Ghana,99,0.7,0.25,0.2,10,0,0,0
1,naive_coi_paramset1,Ghana,99,0.7,0.25,0.5,10,0,0,0
1,naive_coi_paramset2,Cambodia,2.33,0.2,0.5,0.2,10,3.1622776601683795,1.6,-1.6
1,naive_coi_paramset2,Cambodia,2.33,0.2,0.5,0.5,10,2.898275349237888,1.2,-1.2
1,naive_coi_paramset2,Cambodia,2.33,0.7,0.25,0.2,10,0.7745966692414833,0.4,-0.2
1,naive_coi_paramset2,Cambodia,2.33,0.7,0.25,0.5,10,0,0,0
1,naive_coi_paramset2,Cambodia,9,0.2,0.5,0.2,10,3.8600518131237562,1.5,-1.5
1,naive_coi_paramset2,Cambodia,9,0.2,0.5,0.5,10,2.4698178070456938,1.5,-1.5
1,naive_coi_paramset2,Cambodia,9,0.7,0.25,0.2,10,0.31622776601683794,0.1,-0.1
1,naive_coi_paramset2,Cambodia,9,0.7,0.25,0.5,10,0,0,0
1,naive_coi_paramset2,Cambodia,99,0.2,0.5,0.2,10,2.588435821108957,1.7,-1.7
1,naive_coi_paramset2,Cambodia,99,0.2,0.5,0.5,10,0.8944271909999159,0.4,-0.4
1,naive_coi_paramset2,Cambodia,99,0.7,0.25,0.2,10,0,0,0
1,naive_coi_paramset2,Cambodia,99,0.7,0.25,0.5,10,0,0,0
1,naive_coi_paramset2,Ghana,2.33,0.2,0.5,0.2,10,3.1304951684997055,1.8,-1.8
1,naive_coi_paramset2,Ghana,2.33,0.2,0.5,0.5,10,1.0954451150103321,0.8,-0.8
1,naive_coi_paramset2,Ghana,2.33,0.7,0.25,0.2,10,0.447213595499958,0.2,-0.2
1,naive_coi_paramset2,Ghana,2.33,0.7,0.25,0.5,10,0,0,0
1,naive_coi_paramset2,Ghana,9,0.2,0.5,0.2,10,5.23450093132096,3,-2.8
1,naive_coi_paramset2,Ghana,9,0.2,0.5,0.5,10,0.9486832980505138,0.5,-0.5
1,naive_coi_paramset2,Ghana,9,0.7,0.25,0.2,10,0,0,0
1,naive_coi_paramset2,Ghana,9,0.7,0.25,0.5,10,0.31622776601683794,0.1,0.1
1,naive_coi_paramset2,Ghana,99,0.2,0.5,0.2,10,3.5355339059327378,2.1,-2.1
1,naive_coi_paramset2,Ghana,99,0.2,0.5,0.5,10,0.8944271909999159,0.6,0.2
1,naive_coi_paramset2,Ghana,99,0.7,0.25,0.2,10,0,0,0
1,naive_coi_paramset2,Ghana,99,0.7,0.25,0.5,10,0.44721359549995793,0.2,0.2
1,naive_coi_paramset3,Cambodia,2.33,0.2,0.5,0.2,10,2.880972058177587,1.5,-1.5
1,naive_coi_paramset3,Cambodia,2.33,0.2,0.5,0.5,10,2.898275349237888,1.2,-1.2
1,naive_coi_paramset3,Cambodia,2.33,0.7,0.25,0.2,10,0.8366600265340755,0.5,-0.1
1,naive_coi_paramset3,Cambodia,2.33,0.7,0.25,0.5,10,0,0,0
1,naive_coi_paramset3,Cambodia,9,0.2,0.5,0.2,10,3.8470768123342687,1.4,-1.4
1,naive_coi_paramset3,Cambodia,9,0.2,0.5,0.5,10,2.3874672772626644,1.3,-1.3
1,naive_coi_paramset3,Cambodia,9,0.7,0.25,0.2,10,0.31622776601683794,0.1,-0.1
1,naive_coi_paramset3,Cambodia,9,0.7,0.25,0.5,10,0.31622776601683794,0.1,0.1
1,naive_coi_paramset3,Cambodia,99,0.2,0.5,0.2,10,1.9748417658131499,1.3,-1.1
1,naive_coi_paramset3,Cambodia,99,0.2,0.5,0.5,10,0.6324555320336759,0.4,0
1,naive_coi_paramset3,Cambodia,99,0.7,0.25,0.2,10,0,0,0
1,naive_coi_paramset3,Cambodia,99,0.7,0.25,0.5,10,0.447213595499958,0.2,0.2
1,naive_coi_paramset3,Ghana,2.33,0.2,0.5,0.2,10,2.7748873851023217,1.5,-1.5
1,naive_coi_paramset3,Ghana,2.33,0.2,0.5,0.5,10,0.8366600265340756,0.5,-0.3
1,naive_coi_paramset3,Ghana,2.33,0.7,0.25,0.2,10,0.31622776601683794,0.1,-0.1
1,naive_coi_paramset3,Ghana,2.33,0.7,0.25,0.5,10,0.31622776601683794,0.1,0.1
1,naive_coi_paramset3,Ghana,9,0.2,0.5,0.2,10,5.06951674225463,2.9,-2.5
1,naive_coi_paramset3,Ghana,9,0.2,0.5,0.5,10,0.9486832980505138,0.7,0.3
1,naive_coi_paramset3,Ghana,9,0.7,0.25,0.2,10,0,0,0
