sim_id,paramset_id,country,pop_alpha,coi_p,coi_r,k_s,n_samples,n_rows,mean_tool_coi,mean_sim_coi,mean_error,abs_mean_error,mean_sq_error,method,quantile_threshold,integer_threshold,paramset_label
simulated_Cambodia_pop_005,naive_coi_paramset6,Cambodia,9,0.7,0.25,0.5,100,100,1.36,1.36,0,0,0,integer_method,NA,5,int=5
simulated_Cambodia_pop_006,naive_coi_paramset1,Cambodia,9,0.7,0.25,0.2,100,100,1.3,1.44,-0.1399999999999999,0.1399999999999999,0.01959999999999997,quantile_method,0.1,NA,q=0.100
simulated_Cambodia_pop_006,naive_coi_paramset2,Cambodia,9,0.7,0.25,0.2,100,100,1.35,1.44,-0.08999999999999986,0.08999999999999986,0.008099999999999975,quantile_method,0.05,NA,q=0.050
simulated_Cambodia_pop_006,naive_coi_paramset3,Cambodia,9,0.7,0.25,0.2,100,100,1.47,1.44,0.030000000000000027,0.030000000000000027,9.000000000000016e-4,quantile_method,0.025,NA,q=0.025
simulated_Cambodia_pop_006,naive_coi_paramset4,Cambodia,9,0.7,0.25,0.2,100,100,1.82,1.44,0.3800000000000001,0.3800000000000001,0.14440000000000008,integer_method,NA,1,int=1
simulated_Cambodia_pop_006,naive_coi_paramset5,Cambodia,9,0.7,0.25,0.2,100,100,1.65,1.44,0.20999999999999996,0.20999999999999996,0.044099999999999986,integer_method,NA,2,int=2
simulated_Cambodia_pop_006,naive_coi_paramset6,Cambodia,9,0.7,0.25,0.2,100,100,1.43,1.44,-0.010000000000000009,0.010000000000000009,1.0000000000000018e-4,integer_method,NA,5,int=5
simulated_Cambodia_pop_007,naive_coi_paramset1,Cambodia,9,0.2,0.5,0.5,100,100,1.77,4.1,-2.3299999999999996,2.3299999999999996,5.428899999999998,quantile_method,0.1,NA,q=0.100
simulated_Cambodia_pop_007,naive_coi_paramset2,Cambodia,9,0.2,0.5,0.5,100,100,2.08,4.1,-2.0199999999999996,2.0199999999999996,4.080399999999998,quantile_method,0.05,NA,q=0.050
simulated_Cambodia_pop_007,naive_coi_paramset3,Cambodia,9,0.2,0.5,0.5,100,100,2.37,4.1,-1.7299999999999995,1.7299999999999995,2.9928999999999983,quantile_method,0.025,NA,q=0.025
simulated_Cambodia_pop_007,naive_coi_paramset4,Cambodia,9,0.2,0.5,0.5,100,100,3.44,4.1,-0.6599999999999997,0.6599999999999997,0.4355999999999996,integer_method,NA,1,int=1
simulated_Cambodia_pop_007,naive_coi_paramset5,Cambodia,9,0.2,0.5,0.5,100,100,2.91,4.1,-1.1899999999999995,1.1899999999999995,1.4160999999999988,integer_method,NA,2,int=2
simulated_Cambodia_pop_007,naive_coi_paramset6,Cambodia,9,0.2,0.5,0.5,100,100,2.42,4.1,-1.6799999999999997,1.6799999999999997,2.822399999999999,integer_method,NA,5,int=5
simulated_Cambodia_pop_008,naive_coi_paramset1,Cambodia,9,0.2,0.5,0.2,100,100,1.73,3.43,-1.7000000000000002,1.7000000000000002,2.8900000000000006,quantile_method,0.1,NA,q=0.100
simulated_Cambodia_pop_008,naive_coi_paramset2,Cambodia,9,0.2,0.5,0.2,100,100,2.16,3.43,-1.27,1.27,1.6129,quantile_method,0.05,NA,q=0.050
simulated_Cambodia_pop_008,naive_coi_paramset3,Cambodia,9,0.2,0.5,0.2,100,100,2.6,3.43,-0.8300000000000001,0.8300000000000001,0.6889000000000001,quantile_method,0.025,NA,q=0.025
simulated_Cambodia_pop_008,naive_coi_paramset4,Cambodia,9,0.2,0.5,0.2,100,100,3.38,3.43,-0.050000000000000266,0.050000000000000266,0.0025000000000000265,integer_method,NA,1,int=1
simulated_Cambodia_pop_008,naive_coi_paramset5,Cambodia,9,0.2,0.5,0.2,100,100,2.92,3.43,-0.5100000000000002,0.5100000000000002,0.2601000000000002,integer_method,NA,2,int=2
simulated_Cambodia_pop_008,naive_coi_paramset6,Cambodia,9,0.2,0.5,0.2,100,100,2.56,3.43,-0.8700000000000001,0.8700000000000001,0.7569000000000002,integer_method,NA,5,int=5
simulated_Cambodia_pop_009,naive_coi_paramset1,Cambodia,2.33,0.7,0.25,0.5,100,100,1.18,1.33,-0.15000000000000013,0.15000000000000013,0.02250000000000004,quantile_method,0.1,NA,q=0.100
simulated_Cambodia_pop_009,naive_coi_paramset2,Cambodia,2.33,0.7,0.25,0.5,100,100,1.24,1.33,-0.09000000000000008,0.09000000000000008,0.008100000000000015,quantile_method,0.05,NA,q=0.050
simulated_Cambodia_pop_009,naive_coi_paramset3,Cambodia,2.33,0.7,0.25,0.5,100,100,1.32,1.33,-0.010000000000000009,0.010000000000000009,1.0000000000000018e-4,quantile_method,0.025,NA,q=0.025
simulated_Cambodia_pop_009,naive_coi_paramset4,Cambodia,2.33,0.7,0.25,0.5,100,100,1.51,1.33,0.17999999999999994,0.17999999999999994,0.03239999999999998,integer_method,NA,1,int=1
simulated_Cambodia_pop_009,naive_coi_paramset5,Cambodia,2.33,0.7,0.25,0.5,100,100,1.39,1.33,0.05999999999999983,0.05999999999999983,0.00359999999999998,integer_method,NA,2,int=2
simulated_Cambodia_pop_009,naive_coi_paramset6,Cambodia,2.33,0.7,0.25,0.5,100,100,1.31,1.33,-0.020000000000000018,0.020000000000000018,4.000000000000007e-4,integer_method,NA,5,int=5
simulated_Cambodia_pop_010,naive_coi_paramset1,Cambodia,2.33,0.7,0.25,0.2,100,100,1.22,1.31,-0.09000000000000008,0.09000000000000008,0.008100000000000015,quantile_method,0.1,NA,q=0.100
simulated_Cambodia_pop_010,naive_coi_paramset2,Cambodia,2.33,0.7,0.25,0.2,100,100,1.22,1.31,-0.09000000000000008,0.09000000000000008,0.008100000000000015,quantile_method,0.05,NA,q=0.050
simulated_Cambodia_pop_010,naive_coi_paramset3,Cambodia,2.33,0.7,0.25,0.2,100,100,1.24,1.31,-0.07000000000000006,0.07000000000000006,0.0049000000000000085,quantile_method,0.025,NA,q=0.025
simulated_Cambodia_pop_010,naive_coi_paramset4,Cambodia,2.33,0.7,0.25,0.2,100,100,1.4,1.31,0.08999999999999986,0.08999999999999986,0.008099999999999975,integer_method,NA,1,int=1
simulated_Cambodia_pop_010,naive_coi_paramset5,Cambodia,2.33,0.7,0.25,0.2,100,100,1.29,1.31,-0.020000000000000018,0.020000000000000018,4.000000000000007e-4,integer_method,NA,2,int=2
simulated_Cambodia_pop_010,naive_coi_paramset6,Cambodia,2.33,0.7,0.25,0.2,100,100,1.23,1.31,-0.08000000000000007,0.08000000000000007,0.006400000000000012,integer_method,NA,5,int=5
simulated_Cambodia_pop_011,naive_coi_paramset1,Cambodia,2.33,0.2,0.5,0.5,100,100,1.65,3.46,-1.81,1.81,3.2761,quantile_method,0.1,NA,q=0.100
simulated_Cambodia_pop_011,naive_coi_paramset2,Cambodia,2.33,0.2,0.5,0.5,100,100,1.94,3.46,-1.52,1.52,2.3104,quantile_method,0.05,NA,q=0.050
simulated_Cambodia_pop_011,naive_coi_paramset3,Cambodia,2.33,0.2,0.5,0.5,100,100,2.13,3.46,-1.33,1.33,1.7689000000000001,quantile_method,0.025,NA,q=0.025
simulated_Cambodia_pop_011,naive_coi_paramset4,Cambodia,2.33,0.2,0.5,0.5,100,100,2.76,3.46,-0.7000000000000002,0.7000000000000002,0.49000000000000027,integer_method,NA,1,int=1
simulated_Cambodia_pop_011,naive_coi_paramset5,Cambodia,2.33,0.2,0.5,0.5,100,100,2.49,3.46,-0.9699999999999998,0.9699999999999998,0.9408999999999995,integer_method,NA,2,int=2
simulated_Cambodia_pop_011,naive_coi_paramset6,Cambodia,2.33,0.2,0.5,0.5,100,100,2.17,3.46,-1.29,1.29,1.6641000000000001,integer_method,NA,5,int=5
simulated_Cambodia_pop_012,naive_coi_paramset1,Cambodia,2.33,0.2,0.5,0.2,100,100,1.63,2.93,-1.3000000000000003,1.3000000000000003,1.6900000000000006,quantile_method,0.1,NA,q=0.100
simulated_Cambodia_pop_012,naive_coi_paramset2,Cambodia,2.33,0.2,0.5,0.2,100,100,1.81,2.93,-1.12,1.12,1.2544000000000002,quantile_method,0.05,NA,q=0.050
simulated_Cambodia_pop_012,naive_coi_paramset3,Cambodia,2.33,0.2,0.5,0.2,100,100,2.07,2.93,-0.8600000000000003,0.8600000000000003,0.7396000000000006,quantile_method,0.025,NA,q=0.025
simulated_Cambodia_pop_012,naive_coi_paramset4,Cambodia,2.33,0.2,0.5,0.2,100,100,2.68,2.93,-0.25,0.25,0.0625,integer_method,NA,1,int=1
simulated_Cambodia_pop_012,naive_coi_paramset5,Cambodia,2.33,0.2,0.5,0.2,100,100,2.33,2.93,-0.6000000000000001,0.6000000000000001,0.3600000000000001,integer_method,NA,2,int=2
simulated_Cambodia_pop_012,naive_coi_paramset6,Cambodia,2.33,0.2,0.5,0.2,100,100,2.03,2.93,-0.9000000000000004,0.9000000000000004,0.8100000000000006,integer_method,NA,5,int=5
simulated_Cambodia_pop_013,naive_coi_paramset1,Cambodia,99,0.7,0.25,0.5,100,100,1.23,1.29,-0.06000000000000005,0.06000000000000005,0.0036000000000000064,quantile_method,0.1,NA,q=0.100
simulated_Cambodia_pop_013,naive_coi_paramset2,Cambodia,99,0.7,0.25,0.5,100,100,1.29,1.29,0,0,0,quantile_method,0.05,NA,q=0.050
simulated_Cambodia_pop_013,naive_coi_paramset3,Cambodia,99,0.7,0.25,0.5,100,100,1.41,1.29,0.11999999999999988,0.11999999999999988,0.014399999999999972,quantile_method,0.025,NA,q=0.025
simulated_Cambodia_pop_013,naive_coi_paramset4,Cambodia,99,0.7,0.25,0.5,100,100,1.71,1.29,0.41999999999999993,0.41999999999999993,0.17639999999999995,integer_method,NA,1,int=1
simulated_Cambodia_pop_013,naive_coi_paramset5,Cambodia,99,0.7,0.25,0.5,100,100,1.59,1.29,0.30000000000000004,0.30000000000000004,0.09000000000000002,integer_method,NA,2,int=2
simulated_Cambodia_pop_013,naive_coi_paramset6,Cambodia,99,0.7,0.25,0.5,100,100,1.36,1.29,0.07000000000000006,0.07000000000000006,0.0049000000000000085,integer_method,NA,5,int=5
simulated_Cambodia_pop_014,naive_coi_paramset1,Cambodia,99,0.7,0.25,0.2,100,100,1.17,1.25,-0.08000000000000007,0.08000000000000007,0.006400000000000012,quantile_method,0.1,NA,q=0.100
simulated_Cambodia_pop_014,naive_coi_paramset2,Cambodia,99,0.7,0.25,0.2,100,100,1.22,1.25,-0.030000000000000027,0.030000000000000027,9.000000000000016e-4,quantile_method,0.05,NA,q=0.050
simulated_Cambodia_pop_014,naive_coi_paramset3,Cambodia,99,0.7,0.25,0.2,100,100,1.31,1.25,0.06000000000000005,0.06000000000000005,0.0036000000000000064,quantile_method,0.025,NA,q=0.025
simulated_Cambodia_pop_014,naive_coi_paramset4,Cambodia,99,0.7,0.25,0.2,100,100,1.55,1.25,0.30000000000000004,0.30000000000000004,0.09000000000000002,integer_method,NA,1,int=1
simulated_Cambodia_pop_014,naive_coi_paramset5,Cambodia,99,0.7,0.25,0.2,100,100,1.47,1.25,0.21999999999999997,0.21999999999999997,0.04839999999999999,integer_method,NA,2,int=2
simulated_Cambodia_pop_014,naive_coi_paramset6,Cambodia,99,0.7,0.25,0.2,100,100,1.3,1.25,0.050000000000000044,0.050000000000000044,0.0025000000000000044,integer_method,NA,5,int=5
simulated_Cambodia_pop_015,naive_coi_paramset1,Cambodia,99,0.2,0.5,0.5,100,100,1.74,3.98,-2.24,2.24,5.017600000000001,quantile_method,0.1,NA,q=0.100
simulated_Cambodia_pop_015,naive_coi_paramset2,Cambodia,99,0.2,0.5,0.5,100,100,2.2,3.98,-1.7799999999999998,1.7799999999999998,3.168399999999999,quantile_method,0.05,NA,q=0.050
simulated_Cambodia_pop_015,naive_coi_paramset3,Cambodia,99,0.2,0.5,0.5,100,100,2.75,3.98,-1.23,1.23,1.5129,quantile_method,0.025,NA,q=0.025
simulated_Cambodia_pop_015,naive_coi_paramset4,Cambodia,99,0.2,0.5,0.5,100,100,3.76,3.98,-0.2200000000000002,0.2200000000000002,0.04840000000000009,integer_method,NA,1,int=1
simulated_Cambodia_pop_015,naive_coi_paramset5,Cambodia,99,0.2,0.5,0.5,100,100,3.19,3.98,-0.79,0.79,0.6241000000000001,integer_method,NA,2,int=2
simulated_Cambodia_pop_015,naive_coi_paramset6,Cambodia,99,0.2,0.5,0.5,100,100,2.77,3.98,-1.21,1.21,1.4641,integer_method,NA,5,int=5
simulated_Cambodia_pop_016,naive_coi_paramset1,Cambodia,99,0.2,0.5,0.2,100,100,1.7,3.34,-1.64,1.64,2.6895999999999995,quantile_method,0.1,NA,q=0.100
simulated_Cambodia_pop_016,naive_coi_paramset2,Cambodia,99,0.2,0.5,0.2,100,100,2.1,3.34,-1.2399999999999998,1.2399999999999998,1.5375999999999994,quantile_method,0.05,NA,q=0.050
simulated_Cambodia_pop_016,naive_coi_paramset3,Cambodia,99,0.2,0.5,0.2,100,100,2.46,3.34,-0.8799999999999999,0.8799999999999999,0.7743999999999999,quantile_method,0.025,NA,q=0.025
simulated_Cambodia_pop_016,naive_coi_paramset4,Cambodia,99,0.2,0.5,0.2,100,100,3.67,3.34,0.33000000000000007,0.33000000000000007,0.10890000000000005,integer_method,NA,1,int=1
simulated_Cambodia_pop_016,naive_coi_paramset5,Cambodia,99,0.2,0.5,0.2,100,100,3.21,3.34,-0.1299999999999999,0.1299999999999999,0.01689999999999997,integer_method,NA,2,int=2
simulated_Cambodia_pop_016,naive_coi_paramset6,Cambodia,99,0.2,0.5,0.2,100,100,2.51,3.34,-0.8300000000000001,0.8300000000000001,0.6889000000000001,integer_method,NA,5,int=5
simulated_Cambodia_pop_017,naive_coi_paramset1,Cambodia,9,0.7,0.25,0.5,100,100,1.14,1.2,-0.06000000000000005,0.06000000000000005,0.0036000000000000064,quantile_method,0.1,NA,q=0.100
simulated_Cambodia_pop_017,naive_coi_paramset2,Cambodia,9,0.7,0.25,0.5,100,100,1.17,1.2,-0.030000000000000027,0.030000000000000027,9.000000000000016e-4,quantile_method,0.05,NA,q=0.050
simulated_Cambodia_pop_017,naive_coi_paramset3,Cambodia,9,0.7,0.25,0.5,100,100,1.25,1.2,0.050000000000000044,0.050000000000000044,0.0025000000000000044,quantile_method,0.025,NA,q=0.025
simulated_Cambodia_pop_017,naive_coi_paramset4,Cambodia,9,0.7,0.25,0.5,100,100,1.44,1.2,0.24,0.24,0.0576,integer_method,NA,1,int=1
simulated_Cambodia_pop_017,naive_coi_paramset5,Cambodia,9,0.7,0.25,0.5,100,100,1.32,1.2,0.1200000000000001,0.1200000000000001,0.014400000000000026,integer_method,NA,2,int=2
simulated_Cambodia_pop_017,naive_coi_paramset6,Cambodia,9,0.7,0.25,0.5,100,100,1.21,1.2,0.010000000000000009,0.010000000000000009,1.0000000000000018e-4,integer_method,NA,5,int=5
simulated_Cambodia_pop_018,naive_coi_paramset1,Cambodia,9,0.7,0.25,0.2,100,100,1.2,1.26,-0.06000000000000005,0.06000000000000005,0.0036000000000000064,quantile_method,0.1,NA,q=0.100
simulated_Cambodia_pop_018,naive_coi_paramset2,Cambodia,9,0.7,0.25,0.2,100,100,1.25,1.26,-0.010000000000000009,0.010000000000000009,1.0000000000000018e-4,quantile_method,0.05,NA,q=0.050
simulated_Cambodia_pop_018,naive_coi_paramset3,Cambodia,9,0.7,0.25,0.2,100,100,1.41,1.26,0.1499999999999999,0.1499999999999999,0.022499999999999975,quantile_method,0.025,NA,q=0.025
simulated_Cambodia_pop_018,naive_coi_paramset4,Cambodia,9,0.7,0.25,0.2,100,100,1.61,1.26,0.3500000000000001,0.3500000000000001,0.12250000000000007,integer_method,NA,1,int=1
simulated_Cambodia_pop_018,naive_coi_paramset5,Cambodia,9,0.7,0.25,0.2,100,100,1.5,1.26,0.24,0.24,0.0576,integer_method,NA,2,int=2
simulated_Cambodia_pop_018,naive_coi_paramset6,Cambodia,9,0.7,0.25,0.2,100,100,1.4,1.26,0.1399999999999999,0.1399999999999999,0.01959999999999997,integer_method,NA,5,int=5
simulated_Cambodia_pop_019,naive_coi_paramset1,Cambodia,9,0.2,0.5,0.5,100,100,1.82,3.67,-1.8499999999999999,1.8499999999999999,3.4224999999999994,quantile_method,0.1,NA,q=0.100
simulated_Cambodia_pop_019,naive_coi_paramset2,Cambodia,9,0.2,0.5,0.5,100,100,2.16,3.67,-1.5099999999999998,1.5099999999999998,2.2800999999999996,quantile_method,0.05,NA,q=0.050
simulated_Cambodia_pop_019,naive_coi_paramset3,Cambodia,9,0.2,0.5,0.5,100,100,2.55,3.67,-1.12,1.12,1.2544000000000002,quantile_method,0.025,NA,q=0.025
simulated_Cambodia_pop_019,naive_coi_paramset4,Cambodia,9,0.2,0.5,0.5,100,100,3.78,3.67,0.10999999999999988,0.10999999999999988,0.012099999999999972,integer_method,NA,1,int=1
simulated_Cambodia_pop_019,naive_coi_paramset5,Cambodia,9,0.2,0.5,0.5,100,100,3.09,3.67,-0.5800000000000001,0.5800000000000001,0.3364000000000001,integer_method,NA,2,int=2
simulated_Cambodia_pop_019,naive_coi_paramset6,Cambodia,9,0.2,0.5,0.5,100,100,2.53,3.67,-1.1400000000000001,1.1400000000000001,1.2996000000000003,integer_method,NA,5,int=5
simulated_Cambodia_pop_020,naive_coi_paramset1,Cambodia,9,0.2,0.5,0.2,100,100,1.64,3.09,-1.45,1.45,2.1025,quantile_method,0.1,NA,q=0.100
simulated_Cambodia_pop_020,naive_coi_paramset2,Cambodia,9,0.2,0.5,0.2,100,100,1.92,3.09,-1.17,1.17,1.3688999999999998,quantile_method,0.05,NA,q=0.050
simulated_Cambodia_pop_020,naive_coi_paramset3,Cambodia,9,0.2,0.5,0.2,100,100,2.36,3.09,-0.73,0.73,0.5328999999999999,quantile_method,0.025,NA,q=0.025
simulated_Cambodia_pop_020,naive_coi_paramset4,Cambodia,9,0.2,0.5,0.2,100,100,3.24,3.09,0.15000000000000036,0.15000000000000036,0.022500000000000107,integer_method,NA,1,int=1
simulated_Cambodia_pop_020,naive_coi_paramset5,Cambodia,9,0.2,0.5,0.2,100,100,2.83,3.09,-0.2599999999999998,0.2599999999999998,0.06759999999999988,integer_method,NA,2,int=2
simulated_Cambodia_pop_020,naive_coi_paramset6,Cambodia,9,0.2,0.5,0.2,100,100,2.31,3.09,-0.7799999999999998,0.7799999999999998,0.6083999999999997,integer_method,NA,5,int=5
simulated_Cambodia_pop_021,naive_coi_paramset1,Cambodia,2.33,0.7,0.25,0.5,100,100,1.19,1.3,-0.1100000000000001,0.1100000000000001,0.012100000000000022,quantile_method,0.1,NA,q=0.100
simulated_Cambodia_pop_021,naive_coi_paramset2,Cambodia,2.33,0.7,0.25,0.5,100,100,1.21,1.3,-0.09000000000000008,0.09000000000000008,0.008100000000000015,quantile_method,0.05,NA,q=0.050
simulated_Cambodia_pop_021,naive_coi_paramset3,Cambodia,2.33,0.7,0.25,0.5,100,100,1.26,1.3,-0.040000000000000036,0.040000000000000036,0.001600000000000003,quantile_method,0.025,NA,q=0.025
simulated_Cambodia_pop_021,naive_coi_paramset4,Cambodia,2.33,0.7,0.25,0.5,100,100,1.54,1.3,0.24,0.24,0.0576,integer_method,NA,1,int=1
simulated_Cambodia_pop_021,naive_coi_paramset5,Cambodia,2.33,0.7,0.25,0.5,100,100,1.37,1.3,0.07000000000000006,0.07000000000000006,0.0049000000000000085,integer_method,NA,2,int=2
simulated_Cambodia_pop_021,naive_coi_paramset6,Cambodia,2.33,0.7,0.25,0.5,100,100,1.24,1.3,-0.06000000000000005,0.06000000000000005,0.0036000000000000064,integer_method,NA,5,int=5
simulated_Cambodia_pop_022,naive_coi_paramset1,Cambodia,2.33,0.7,0.25,0.2,100,100,1.15,1.2,-0.050000000000000044,0.050000000000000044,0.0025000000000000044,quantile_method,0.1,NA,q=0.100
simulated_Cambodia_pop_022,naive_coi_paramset2,Cambodia,2.33,0.7,0.25,0.2,100,100,1.16,1.2,-0.040000000000000036,0.040000000000000036,0.001600000000000003,quantile_method,0.05,NA,q=0.050
simulated_Cambodia_pop_022,naive_coi_paramset3,Cambodia,2.33,0.7,0.25,0.2,100,100,1.22,1.2,0.020000000000000018,0.020000000000000018,4.000000000000007e-4,quantile_method,0.025,NA,q=0.025
simulated_Cambodia_pop_022,naive_coi_paramset4,Cambodia,2.33,0.7,0.25,0.2,100,100,1.39,1.2,0.18999999999999995,0.18999999999999995,0.03609999999999998,integer_method,NA,1,int=1
simulated_Cambodia_pop_022,naive_coi_paramset5,Cambodia,2.33,0.7,0.25,0.2,100,100,1.3,1.2,0.10000000000000009,0.10000000000000009,0.010000000000000018,integer_method,NA,2,int=2
simulated_Cambodia_pop_022,naive_coi_paramset6,Cambodia,2.33,0.7,0.25,0.2,100,100,1.19,1.2,-0.010000000000000009,0.010000000000000009,1.0000000000000018e-4,integer_method,NA,5,int=5
simulated_Cambodia_pop_023,naive_coi_paramset1,Cambodia,2.33,0.2,0.5,0.5,100,100,1.66,3.38,-1.72,1.72,2.9583999999999997,quantile_method,0.1,NA,q=0.100
simulated_Cambodia_pop_023,naive_coi_paramset2,Cambodia,2.33,0.2,0.5,0.5,100,100,1.82,3.38,-1.5599999999999998,1.5599999999999998,2.4335999999999993,quantile_method,0.05,NA,q=0.050
simulated_Cambodia_pop_023,naive_coi_paramset3,Cambodia,2.33,0.2,0.5,0.5,100,100,2.09,3.38,-1.29,1.29,1.6641000000000001,quantile_method,0.025,NA,q=0.025
simulated_Cambodia_pop_023,naive_coi_paramset4,Cambodia,2.33,0.2,0.5,0.5,100,100,2.86,3.38,-0.52,0.52,0.27040000000000003,integer_method,NA,1,int=1
simulated_Cambodia_pop_023,naive_coi_paramset5,Cambodia,2.33,0.2,0.5,0.5,100,100,2.53,3.38,-0.8500000000000001,0.8500000000000001,0.7225000000000001,integer_method,NA,2,int=2
