sim_id,paramset_id,country,pop_alpha,coi_p,coi_r,k_s,n_samples,n_rows,mean_tool_coi,mean_sim_coi,mean_error,abs_mean_error,mean_sq_error,method,quantile_threshold,integer_threshold,paramset_label
simulated_Cambodia_pop_001,naive_coi_paramset1,Cambodia,99,0.7,0.25,0.5,100,100,1.27,1.33,-0.06000000000000005,0.06000000000000005,0.0036000000000000064,quantile_method,0.1,NA,q=0.100
simulated_Cambodia_pop_001,naive_coi_paramset2,Cambodia,99,0.7,0.25,0.5,100,100,1.31,1.33,-0.020000000000000018,0.020000000000000018,4.000000000000007e-4,quantile_method,0.05,NA,q=0.050
simulated_Cambodia_pop_001,naive_coi_paramset3,Cambodia,99,0.7,0.25,0.5,100,100,1.47,1.33,0.1399999999999999,0.1399999999999999,0.01959999999999997,quantile_method,0.025,NA,q=0.025
simulated_Cambodia_pop_001,naive_coi_paramset4,Cambodia,99,0.7,0.25,0.5,100,100,1.82,1.33,0.49,0.49,0.24009999999999998,integer_method,NA,1,int=1
simulated_Cambodia_pop_001,naive_coi_paramset5,Cambodia,99,0.7,0.25,0.5,100,100,1.65,1.33,0.31999999999999984,0.31999999999999984,0.1023999999999999,integer_method,NA,2,int=2
simulated_Cambodia_pop_001,naive_coi_paramset6,Cambodia,99,0.7,0.25,0.5,100,100,1.43,1.33,0.09999999999999987,0.09999999999999987,0.009999999999999974,integer_method,NA,5,int=5
simulated_Cambodia_pop_002,naive_coi_paramset1,Cambodia,99,0.7,0.25,0.2,100,100,1.21,1.28,-0.07000000000000006,0.07000000000000006,0.0049000000000000085,quantile_method,0.1,NA,q=0.100
simulated_Cambodia_pop_002,naive_coi_paramset2,Cambodia,99,0.7,0.25,0.2,100,100,1.26,1.28,-0.020000000000000018,0.020000000000000018,4.000000000000007e-4,quantile_method,0.05,NA,q=0.050
simulated_Cambodia_pop_002,naive_coi_paramset3,Cambodia,99,0.7,0.25,0.2,100,100,1.41,1.28,0.1299999999999999,0.1299999999999999,0.01689999999999997,quantile_method,0.025,NA,q=0.025
simulated_Cambodia_pop_002,naive_coi_paramset4,Cambodia,99,0.7,0.25,0.2,100,100,1.68,1.28,0.3999999999999999,0.3999999999999999,0.15999999999999992,integer_method,NA,1,int=1
simulated_Cambodia_pop_002,naive_coi_paramset5,Cambodia,99,0.7,0.25,0.2,100,100,1.57,1.28,0.29000000000000004,0.29000000000000004,0.08410000000000002,integer_method,NA,2,int=2
simulated_Cambodia_pop_002,naive_coi_paramset6,Cambodia,99,0.7,0.25,0.2,100,100,1.37,1.28,0.09000000000000008,0.09000000000000008,0.008100000000000015,integer_method,NA,5,int=5
simulated_Cambodia_pop_003,naive_coi_paramset1,Cambodia,99,0.2,0.5,0.5,100,100,1.73,3.82,-2.09,2.09,4.368099999999999,quantile_method,0.1,NA,q=0.100
simulated_Cambodia_pop_003,naive_coi_paramset2,Cambodia,99,0.2,0.5,0.5,100,100,2.21,3.82,-1.6099999999999999,1.6099999999999999,2.5920999999999994,quantile_method,0.05,NA,q=0.050
simulated_Cambodia_pop_003,naive_coi_paramset3,Cambodia,99,0.2,0.5,0.5,100,100,2.67,3.82,-1.15,1.15,1.3224999999999998,quantile_method,0.025,NA,q=0.025
simulated_Cambodia_pop_003,naive_coi_paramset4,Cambodia,99,0.2,0.5,0.5,100,100,3.88,3.82,0.06000000000000005,0.06000000000000005,0.0036000000000000064,integer_method,NA,1,int=1
simulated_Cambodia_pop_003,naive_coi_paramset5,Cambodia,99,0.2,0.5,0.5,100,100,3.28,3.82,-0.54,0.54,0.2916,integer_method,NA,2,int=2
simulated_Cambodia_pop_003,naive_coi_paramset6,Cambodia,99,0.2,0.5,0.5,100,100,2.67,3.82,-1.15,1.15,1.3224999999999998,integer_method,NA,5,int=5
simulated_Cambodia_pop_004,naive_coi_paramset1,Cambodia,99,0.2,0.5,0.2,100,100,1.87,3.9,-2.03,2.03,4.120899999999999,quantile_method,0.1,NA,q=0.100
simulated_Cambodia_pop_004,naive_coi_paramset2,Cambodia,99,0.2,0.5,0.2,100,100,2.37,3.9,-1.5299999999999998,1.5299999999999998,2.3408999999999995,quantile_method,0.05,NA,q=0.050
simulated_Cambodia_pop_004,naive_coi_paramset3,Cambodia,99,0.2,0.5,0.2,100,100,2.86,3.9,-1.04,1.04,1.0816000000000001,quantile_method,0.025,NA,q=0.025
simulated_Cambodia_pop_004,naive_coi_paramset4,Cambodia,99,0.2,0.5,0.2,100,100,4.05,3.9,0.1499999999999999,0.1499999999999999,0.022499999999999975,integer_method,NA,1,int=1
simulated_Cambodia_pop_004,naive_coi_paramset5,Cambodia,99,0.2,0.5,0.2,100,100,3.43,3.9,-0.46999999999999975,0.46999999999999975,0.22089999999999976,integer_method,NA,2,int=2
simulated_Cambodia_pop_004,naive_coi_paramset6,Cambodia,99,0.2,0.5,0.2,100,100,2.86,3.9,-1.04,1.04,1.0816000000000001,integer_method,NA,5,int=5
simulated_Cambodia_pop_005,naive_coi_paramset1,Cambodia,9,0.7,0.25,0.5,100,100,1.26,1.36,-0.10000000000000009,0.10000000000000009,0.010000000000000018,quantile_method,0.1,NA,q=0.100
simulated_Cambodia_pop_005,naive_coi_paramset2,Cambodia,9,0.7,0.25,0.5,100,100,1.3,1.36,-0.06000000000000005,0.06000000000000005,0.0036000000000000064,quantile_method,0.05,NA,q=0.050
simulated_Cambodia_pop_005,naive_coi_paramset3,Cambodia,9,0.7,0.25,0.5,100,100,1.38,1.36,0.019999999999999796,0.019999999999999796,3.9999999999999183e-4,quantile_method,0.025,NA,q=0.025
simulated_Cambodia_pop_005,naive_coi_paramset4,Cambodia,9,0.7,0.25,0.5,100,100,1.68,1.36,0.31999999999999984,0.31999999999999984,0.1023999999999999,integer_method,NA,1,int=1
simulated_Cambodia_pop_005,naive_coi_paramset5,Cambodia,9,0.7,0.25,0.5,100,100,1.54,1.36,0.17999999999999994,0.17999999999999994,0.03239999999999998,integer_method,NA,2,int=2
