sample	MixName
8025874760	7C17S1
8025874675	7C17S1
8025875112	7C17S1
8025874484	7C17S1
8025874720	DC3DS1
8025874886	DC3DS1
8025874948	DC3DS1
8025874234	DC3DS1
8025874348	DC4DS1
8025874352	DC4DS1
8025874878	DC4DS1
8025874405	DC4DS1
8025874454	DC5DS1
8025874491	DC5DS1
8025875168	DC5DS1
8025874701	DC5DS1
8025874888	QC1QS1
8025874879	QC1QS1
8025874396	QC1QS1
8025874499	QC1QS1
8025874286	QC2QS1
8025874452	QC2QS1
8025874231	QC2QS1
8025874903	QC2QS1
SS1-10K-C1	SC1SS1
SS2-10K-C1	SC1SS2
SS3-10K-C1	SC1SS3
SS4-10K-C1	SC1SS4
SS5-10K-C1	SC1SS5
8025874877	SC1SS6
8025874676	SC1SS7
8025874956	TC1TS3
8025874662	TC1TS3
8025875165	TC1TS3
8025874585	TC1TS3
8025874613	TC2TS3
8025874931	TC2TS3
8025874343	TC2TS3
8025875065	TC2TS3
8025874437	TC5TS3
8025874705	TC5TS3
8025874591	TC5TS3
8025874568	TC5TS3
