MixName	strain	relative_abundance
TC3TS6	D6	60
TC3TS6	HB3	30
TC4TS1	V1-S	15
TC4TS1	FCR3	80
TC4TS1	W2	5
TC4TS2	D6	15
TC4TS2	FCR3	80
TC4TS2	W2	5
TC4TS3	FCR3	15
TC4TS3	W2	80
TC4TS3	HB3	5
TC4TS4	V1-S	15
TC4TS4	W2	80
TC4TS4	D6	5
TC4TS5	HB3	15
TC4TS5	U659	80
TC4TS5	D10	5
TC4TS6	D10	15
TC4TS6	D6	80
TC4TS6	HB3	5
TC5TS1	V1-S	30
TC5TS1	FCR3	10
TC5TS1	W2	60
TC5TS2	D6	30
TC5TS2	FCR3	10
TC5TS2	W2	60
TC5TS3	FCR3	30
TC5TS3	W2	10
TC5TS3	HB3	60
TC5TS4	V1-S	30
TC5TS4	W2	10
TC5TS4	D6	60
TC5TS5	HB3	30
TC5TS5	U659	10
TC5TS5	D10	60
TC5TS6	D10	30
TC5TS6	D6	10
TC5TS6	HB3	60
TC6TS1	V1-S	5
TC6TS1	FCR3	15
TC6TS1	W2	80
TC6TS2	D6	5
TC6TS2	FCR3	15
TC6TS2	W2	80
TC6TS3	FCR3	5
TC6TS3	W2	15
TC6TS3	HB3	80
TC6TS4	V1-S	5
TC6TS4	W2	15
TC6TS4	D6	80
TC6TS5	HB3	5
TC6TS5	U659	15
TC6TS5	D10	80
TC6TS6	D10	5
TC6TS6	D6	15
TC6TS6	HB3	80
