MixName	strain	relative_abundance
7C17S1	FCR3	70
7C17S1	V1-S	5
7C17S1	W2	5
7C17S1	U659	5
7C17S1	D10	5
7C17S1	D6	5
7C17S1	HB3	5
7C27S1	FCR3	88
7C27S1	V1-S	2
7C27S1	W2	2
7C27S1	U659	2
7C27S1	D10	2
7C27S1	D6	2
7C27S1	HB3	2
7C37S1	FCR3	94
7C37S1	V1-S	1
7C37S1	W2	1
7C37S1	U659	1
7C37S1	D10	1
7C37S1	D6	1
7C37S1	HB3	1
7C47S1	FCR3	97
7C47S1	V1-S	0.5
7C47S1	W2	0.5
7C47S1	U659	0.5
7C47S1	D10	0.5
7C47S1	D6	0.5
7C47S1	HB3	0.5
DC10DS1	FCR3	98
DC10DS1	W2	2
DC10DS2	V1-S	98
DC10DS2	U659	2
DC10DS3	V1-S	98
DC10DS3	FCR3	2
DC10DS4	W2	98
DC10DS4	D10	2
DC10DS5	FCR3	98
DC10DS5	U659	2
DC10DS6	HB3	98
DC10DS6	D6	2
DC11DS1	FCR3	99
DC11DS1	W2	1
DC11DS2	V1-S	99
DC11DS2	U659	1
DC11DS3	V1-S	99
DC11DS3	FCR3	1
DC11DS4	W2	99
DC11DS4	D10	1
DC11DS5	FCR3	99
DC11DS5	U659	1
DC11DS6	HB3	99
DC11DS6	D6	1
DC1DS1	FCR3	1
DC1DS1	W2	99
DC1DS2	V1-S	1
DC1DS2	U659	99
DC1DS3	V1-S	1
DC1DS3	FCR3	99
DC1DS4	W2	1
DC1DS4	D10	99
DC1DS5	FCR3	1
DC1DS5	U659	99
DC1DS6	HB3	1
DC1DS6	D6	99
DC2DS1	FCR3	2
DC2DS1	W2	98
DC2DS2	V1-S	2
DC2DS2	U659	98
DC2DS3	V1-S	2
DC2DS3	FCR3	98
DC2DS4	W2	2
DC2DS4	D10	98
DC2DS5	FCR3	2
DC2DS5	U659	98
DC2DS6	HB3	2
DC2DS6	D6	98
DC3DS1	FCR3	5
DC3DS1	W2	95
DC3DS2	V1-S	5
DC3DS2	U659	95
DC3DS3	V1-S	5
DC3DS3	FCR3	95
DC3DS4	W2	5
DC3DS4	D10	95
DC3DS5	FCR3	5
DC3DS5	U659	95
DC3DS6	HB3	5
DC3DS6	D6	95
DC4DS1	FCR3	10
DC4DS1	W2	90
DC4DS2	V1-S	10
DC4DS2	U659	90
DC4DS3	V1-S	10
DC4DS3	FCR3	90
DC4DS4	W2	10
DC4DS4	D10	90
DC4DS5	FCR3	10
DC4DS5	U659	90
DC4DS6	HB3	10
DC4DS6	D6	90
DC5DS1	FCR3	40
DC5DS1	W2	60
DC5DS2	V1-S	40
DC5DS2	U659	60
DC5DS3	V1-S	40
DC5DS3	FCR3	60
DC5DS4	W2	40
DC5DS4	D10	60
DC5DS5	FCR3	40
DC5DS5	U659	60
DC5DS6	HB3	40
DC5DS6	D6	60
DC6DS1	FCR3	50
DC6DS1	W2	50
DC6DS2	V1-S	50
DC6DS2	U659	50
DC6DS3	V1-S	50
DC6DS3	FCR3	50
DC6DS4	W2	50
DC6DS4	D10	50
DC6DS5	FCR3	50
DC6DS5	U659	50
DC6DS6	HB3	50
DC6DS6	D6	50
DC7DS1	FCR3	60
DC7DS1	W2	40
DC7DS2	V1-S	60
DC7DS2	U659	40
DC7DS3	V1-S	60
DC7DS3	FCR3	40
DC7DS4	W2	60
DC7DS4	D10	40
DC7DS5	FCR3	60
DC7DS5	U659	40
DC7DS6	HB3	60
DC7DS6	D6	40
DC8DS1	FCR3	90
DC8DS1	W2	10
DC8DS2	V1-S	90
DC8DS2	U659	10
DC8DS3	V1-S	90
DC8DS3	FCR3	10
DC8DS4	W2	90
DC8DS4	D10	10
DC8DS5	FCR3	90
DC8DS5	U659	10
DC8DS6	HB3	90
DC8DS6	D6	10
DC9DS1	FCR3	95
DC9DS1	W2	5
DC9DS2	V1-S	95
DC9DS2	U659	5
DC9DS3	V1-S	95
DC9DS3	FCR3	5
DC9DS4	W2	95
DC9DS4	D10	5
DC9DS5	FCR3	95
DC9DS5	U659	5
DC9DS6	HB3	95
DC9DS6	D6	5
QC1QS1	V1-S	50
QC1QS1	FCR3	20
QC1QS1	W2	15
QC1QS1	U659	10
QC1QS1	D6	5
QC1QS2	HB3	50
QC1QS2	FCR3	20
QC1QS2	W2	15
QC1QS2	U659	10
QC1QS2	D10	5
QC1QS3	V1-S	50
QC1QS3	W2	20
QC1QS3	D6	15
QC1QS3	D10	10
QC1QS3	HB3	5
QC2QS1	V1-S	20
QC2QS1	FCR3	15
QC2QS1	W2	10
QC2QS1	U659	5
QC2QS1	D6	50
QC2QS2	HB3	20
QC2QS2	FCR3	15
QC2QS2	W2	10
QC2QS2	U659	5
QC2QS2	D10	50
QC2QS3	V1-S	20
QC2QS3	W2	15
QC2QS3	D6	10
QC2QS3	D10	5
QC2QS3	HB3	50
QC3QS1	V1-S	15
QC3QS1	FCR3	10
QC3QS1	W2	5
QC3QS1	U659	50
QC3QS1	D6	20
QC3QS2	HB3	15
QC3QS2	FCR3	10
QC3QS2	W2	5
QC3QS2	U659	50
QC3QS2	D10	20
QC3QS3	V1-S	15
QC3QS3	W2	10
QC3QS3	D6	5
QC3QS3	D10	50
QC3QS3	HB3	20
QC4QS1	V1-S	10
QC4QS1	FCR3	5
QC4QS1	W2	50
QC4QS1	U659	20
QC4QS1	D6	15
QC4QS2	HB3	10
QC4QS2	FCR3	5
QC4QS2	W2	50
QC4QS2	U659	20
QC4QS2	D10	15
QC4QS3	V1-S	10
QC4QS3	W2	5
QC4QS3	D6	50
QC4QS3	D10	20
QC4QS3	HB3	15
QC5QS1	V1-S	5
QC5QS1	FCR3	50
QC5QS1	W2	20
QC5QS1	U659	15
QC5QS1	D6	10
QC5QS2	HB3	5
QC5QS2	FCR3	50
QC5QS2	W2	20
QC5QS2	U659	15
QC5QS2	D10	10
QC5QS3	V1-S	5
QC5QS3	W2	50
QC5QS3	D6	20
QC5QS3	D10	15
QC5QS3	HB3	10
SC1SS1	FCR3	100
SC1SS2	V1-S	100
SC1SS3	W2	100
SC1SS4	U659	100
SC1SS5	D10	100
SC1SS6	D6	100
SC1SS7	HB3	100
TC1TS1	V1-S	60
TC1TS1	FCR3	30
TC1TS1	W2	10
TC1TS2	D6	60
TC1TS2	FCR3	30
TC1TS2	W2	10
TC1TS3	FCR3	60
TC1TS3	W2	30
TC1TS3	HB3	10
TC1TS4	V1-S	60
TC1TS4	W2	30
TC1TS4	D6	10
TC1TS5	HB3	60
TC1TS5	U659	30
TC1TS5	D10	10
TC1TS6	D10	60
TC1TS6	D6	30
TC1TS6	HB3	10
TC2TS1	V1-S	80
TC2TS1	FCR3	5
TC2TS1	W2	15
TC2TS2	D6	80
TC2TS2	FCR3	5
TC2TS2	W2	15
TC2TS3	FCR3	80
TC2TS3	W2	5
TC2TS3	HB3	15
TC2TS4	V1-S	80
TC2TS4	W2	5
TC2TS4	D6	15
TC2TS5	HB3	80
TC2TS5	U659	5
TC2TS5	D10	15
TC2TS6	D10	80
TC2TS6	D6	5
TC2TS6	HB3	15
TC3TS1	V1-S	10
TC3TS1	FCR3	60
TC3TS1	W2	30
TC3TS2	D6	10
TC3TS2	FCR3	60
TC3TS2	W2	30
TC3TS3	FCR3	10
TC3TS3	W2	60
TC3TS3	HB3	30
TC3TS4	V1-S	10
TC3TS4	W2	60
TC3TS4	D6	30
TC3TS5	HB3	10
TC3TS5	U659	60
TC3TS5	D10	30
TC3TS6	D10	10
