sample	pcrCondition	source	clinicCode	clustergroup
8025874217	C1	Inhambane	500-004	NA
8025874237	C1	Inhambane	500-004	NA
8025874250	C5	Inhambane	500-004	NA
8025874253	C1	Gaza	400-004	3
8025874261	C1	Gaza	400-004	7
8025874266	C5	Maputo	300-004	NA
8025874271	C1	Maputo	300-004	NA
8025874297	C5	Maputo	300-004	NA
8025874300	C1	Inhambane	500-004	NA
8025874316	C1	Maputo	300-004	5
8025874321	C1	Inhambane	500-004	NA
8025874330	C1	Maputo	300-004	NA
8025874340	C1	Maputo	300-004	NA
8025874349	C1	Inhambane	500-004	NA
8025874357	C1	Maputo	300-004	NA
8025874366	C5	Inhambane	500-004	NA
8025874376	C1	Maputo	300-004	NA
8025874377	C1	Inhambane	500-004	NA
8025874380	C1	Maputo	300-004	NA
8025874382	C1	Gaza	400-004	4
8025874387	C5	Maputo	300-004	NA
8025874411	C1	Inhambane	500-004	NA
8025874419	C5	Maputo	300-004	NA
8025874421	C1	Inhambane	500-004	NA
8025874435	C1	Maputo	300-004	NA
8025874447	C1	Maputo	300-004	NA
8025874457	C1	Gaza	400-004	NA
8025874463	C1	Inhambane	500-004	NA
8025874482	C1	Inhambane	500-004	NA
8025874494	C5	Gaza	400-004	NA
8025874502	C1	Gaza	400-004	1
8025874507	C1	Inhambane	500-004	NA
8025874526	C1	Gaza	400-004	1
8025874536	C5	Gaza	400-004	NA
8025874537	C1	Gaza	400-004	1
8025874578	C5	Inhambane	500-004	NA
8025874586	C1	Gaza	400-004	2
8025874589	C1	Gaza	400-004	6
8025874627	C1	Inhambane	500-004	NA
8025874636	C1	Gaza	400-004	NA
8025874637	C1	Inhambane	500-004	NA
8025874665	C1	Inhambane	500-004	NA
8025874669	C5	Inhambane	500-004	NA
8025874672	C1	Maputo	300-004	NA
8025874706	C1	Maputo	300-004	NA
8025874714	C1	Inhambane	500-004	NA
8025874729	C1	Inhambane	500-004	NA
8025874738	C1	Maputo	300-004	NA
8025874809	C1	Inhambane	500-004	NA
8025874829	C1	Gaza	400-004	NA
8025874849	C5	Gaza	400-004	NA
8025874865	C1	Inhambane	500-004	NA
8025874872	C1	Maputo	300-004	NA
8025874875	C1	Gaza	400-004	NA
8025874899	C1	Inhambane	500-004	NA
8025874928	C1	Maputo	300-004	NA
8025874933	C1	Maputo	300-004	NA
8025874940	C1	Inhambane	500-004	NA
8025874973	C1	Maputo	300-004	NA
8025874975	C1	Gaza	400-004	7
8025874988	C1	Gaza	400-004	1
8025875029	C1	Maputo	300-004	NA
8025875042	C1	Maputo	300-004	NA
8025875052	C1	Gaza	400-004	2
8025875059	C1	Gaza	400-004	3
8025875121	C1	Maputo	300-004	NA
8025875140	C1	Gaza	400-004	4
8025875144	C1	Gaza	400-004	3
8025875145	C1	Gaza	400-004	2
8025875146	C1	Gaza	400-004	NA
8025875166	C1	Gaza	400-004	6
8025875170	C1	Maputo	300-004	NA
8034209115	C1	Gaza	400-004	NA
8034209228	C5	Inhambane	500-004	NA
8034209281	C1	Gaza	400-004	2
8034209465	C1	Gaza	400-004	2
8034209589	C1	Inhambane	500-004	NA
8034209773	C1	Maputo	300-004	NA
8034209790	C1	Inhambane	500-004	NA
8034209803	C1	Maputo	300-004	5
8034209818	C1	Maputo	300-004	NA
8034209834	C1	Gaza	400-004	1
