Main use-cases, "MOI estimation, reconstruction of SNP haplotypes"
Authors, "Nianqiao Ju, Jiawei Liu, Qixin He"
Latest version, "2024-04-30"
License, "GPL-3.0"
Website,"<a href=""https://www.google.com"" target=""_blank""> https://www.google.com</a>"
Code repository,"<a href=""https://github.com/nianqiaoju/snp-slice"" target=""_blank""> https://github.com/nianqiaoju/snp-slice</a>"
Publication,"<a href=""https://academic.oup.com/bioinformatics/article/40/6/btae344/7695237#467922339"" target=""_blank""> https://academic.oup.com/bioinformatics/article/40/6/btae344/7695237#467922339</a>"
Tutorial authors, TODO
Tutorial date,TODO
