Main use-cases,MOI;prevalence estimates
Authors,Henri Christian Junior Tsoungui Obama;Kristan Alexander Schneider
Latest version,NA
License,MIT License
Website,"<a href=""https://github.com/Maths-against-Malaria/MultiLociBiallelicModel"" target=""_blank""> https://github.com/Maths-against-Malaria/MultiLociBiallelicModel</a>"
Code repository,"<a href=""https://github.com/Maths-against-Malaria/MultiLociBiallelicModel"" target=""_blank""> https://github.com/Maths-against-Malaria/MultiLociBiallelicModel</a>"
Publication,"<a href=""https://www.frontiersin.org/articles/10.3389/fepid.2022.943625/full"" target=""_blank""> https://www.frontiersin.org/articles/10.3389/fepid.2022.943625/full</a>"
Tutorial authors,Nicholas Hathaway
Tutorial date,2023-12
